Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'PERF_PREFILL'.
Using operations until 'PERF_PREFILL_END'.
Detected data from 1 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID   Total %  Bound  OP Code                                  Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
468    0.0 %         CloneOperation                                 3         4 μs                  110                                                       BF16 => BF16
517    0.0 %         UntilizeWithUnpaddingDeviceOperation           3         6 μs          1 μs      1                                                   UINT16 => UINT16
518    0.0 %         UntilizeWithUnpaddingDeviceOperation           3         6 μs          1 μs      1                                                   UINT32 => UINT32
519    0.0 %         GatherDeviceOperation                          3         8 μs          1 μs      1                                           UINT32, UINT16 => UINT32
520    0.0 %         BinaryNgDeviceOperation                        3         3 μs          1 μs    110                                           UINT32, UINT32 => UINT32
521    0.0 %         BinaryNgDeviceOperation                        3         5 μs          1 μs    110                                                   UINT32 => UINT32
522    0.2 %         ScatterDeviceOperation                         3        56 μs          2 μs      1                                           UINT32, UINT32 => UINT32
523    0.1 %         ScatterDeviceOperation                         3        25 μs          2 μs      1                                           UINT32, UINT32 => UINT32
524    0.0 %         UntilizeCodegenDeviceOperation                 3         5 μs          1 μs     72                                                       BF16 => BF16
525    1.2 %         EmbeddingsDeviceOperation                      3       453 μs          1 μs    110                                               UINT32, BF16 => BF16
526   89.5 %         UnifiedRoutedExpertFfnDeviceOperation          3    32,961 μs          1 μs     88                                                 BF16, BF16 => BFP8
527    0.3 %         TypecastDeviceOperation                        3       121 μs          1 μs    110                                                       BFP8 => BF16
528    0.4 %         UntilizeCodegenDeviceOperation                 3       134 μs          1 μs    110                                                       BF16 => BF16
529    0.1 %         EmbeddingsDeviceOperation                      3        21 μs          1 μs    110                                               UINT32, BF16 => BF16
530    0.0 %         UntilizeWithUnpaddingDeviceOperation           3         9 μs          1 μs      4                                                       BF16 => BF16
531    0.0 %         ReshapeViewDeviceOperation                     3         2 μs          0 μs    110                                                       BF16 => BF16
532    0.3 %         PostCombineReduceDeviceOperation               3        95 μs          1 μs      4                                                 BF16, BF16 => BF16
533    0.0 %         BinaryNgDeviceOperation                        3         7 μs          1 μs    110                                                 BF16, BF16 => BF16
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     100.0 %         66 device ops, 0 host ops, 0 signposts              36,220 μs        614 μs           2 GB/s   0.3 %
