Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'OPTIMIZED_FULL_MODEL_PROFILE_TEACHER_FORCING_DECODE'.
Using operations until 'OPTIMIZED_FULL_MODEL_PROFILE_TEACHER_FORCING_DECODE_END'.
Detected data from 4 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                                      Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 3787    0.0 %         SliceDeviceOperation                                               3         1 μs                    1                                                   UINT32 => UINT32
 3949    0.1 %         InterleavedToShardedDeviceOperation                                2         2 μs          1 μs     10                                                       BFP8 => BFP8
 3950    0.3 %         LayerNormDeviceOperation                                           2         6 μs          1 μs     10                                                 BFP8, BF16 => BFP8
 3951    0.8 %   SLOW  MatmulDeviceOperation 32 x 2880 x 1280                             2        17 μs          1 μs     10  217 GB/s  42.4 %  13.9 TFLOPs   25.1 %   LoFi BFP8 x BFP8 => BF16
 3955    0.1 %         RotaryEmbeddingLlamaDeviceOperation                                2         2 μs          1 μs      1                                                 BF16, BF16 => BF16
 3962    0.1 %         BinaryNgDeviceOperation                                            2         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 3963    0.1 %         TypecastDeviceOperation                                            2         2 μs          1 μs     92                                                       BF16 => BFP8
 3966    0.1 %         SliceDeviceOperation                                               2         1 μs          1 μs     90                                                       BFP8 => BFP8
 3968    0.1 %         InterleavedToShardedDeviceOperation                                2         2 μs          1 μs     10                                                       BFP8 => BFP8
 3969    0.3 %         LayerNormDeviceOperation                                           2         6 μs          1 μs     10                                                 BFP8, BF16 => BFP8
 3975    0.1 %         SliceDeviceOperation                                               2         0 μs          1 μs      1                                                       BF16 => BF16
 3976    0.1 %         SliceDeviceOperation                                               2         0 μs          1 μs      1                                                   UINT16 => UINT16
 3977    0.3 %         SoftmaxDeviceOperation                                             2         7 μs          1 μs      1                                                       BF16 => BF16
 3985    0.1 %         BinaryNgDeviceOperation                                            2         2 μs          0 μs    110                                                 BF16, BF16 => BF16
 3989    1.2 %         TilizeWithValPaddingDeviceOperation                                2        27 μs          1 μs      1                                                       BF16 => BF16
 3991    0.1 %         UnaryDeviceOperation                                               2         2 μs          1 μs    110                                                 BF16, BF16 => BF16
 3992    0.2 %         BinaryNgDeviceOperation                                            2         3 μs          1 μs    110                                                       BF16 => BF16
 4002    0.4 %         TilizeWithValPaddingDeviceOperation                                2         4 μs          6 μs     90                                                       BF16 => BF16
 4003    0.2 %         BinaryNgDeviceOperation                                            2         2 μs          2 μs    110                                                 BF16, BF16 => BF16
 4011    0.2 %         ConcatDeviceOperation                                              2         4 μs          1 μs    110                                                 BF16, BF16 => BF16
 4016    0.8 %   SLOW  MatmulDeviceOperation 32 x 2880 x 1280                             2        17 μs          1 μs     10  216 GB/s  42.2 %  13.8 TFLOPs   25.0 %   LoFi BF16 x BFP8 => BF16
 4018    0.1 %         NLPCreateQKVHeadsDecodeDeviceOperation                             2         2 μs          1 μs      1                                                       BF16 => BF16
 4023    0.8 %         SdpaDecodeDeviceOperation                                          2        12 μs          5 μs     64                                                 BF16, BFP8 => BF16
 4026    0.6 %   SLOW  MatmulDeviceOperation 32 x 1024 x 2944                             2        14 μs          1 μs     16  211 GB/s  41.3 %  13.5 TFLOPs   15.3 %   LoFi BF16 x BFP8 => BF16
 4037    0.1 %         TypecastDeviceOperation                                            2         1 μs          1 μs      4                                                       BFP8 => BF16
 4043    0.1 %         UntilizeWithUnpaddingDeviceOperation                               2         1 μs          1 μs      1                                                   UINT16 => UINT16
 4046    1.7 %   SLOW  SparseMatmulDeviceOperation active=4/128 x 32 x 2880 x 1440        2        39 μs          1 μs     45  211 GB/s  41.3 %  27.0 TFLOPs   10.9 %   LoFi BFP8 x BFP4 => BF16
 4047    0.2 %         ReshapeViewDeviceOperation                                         2         4 μs          1 μs     45                                                       BF16 => BF16
 4051    0.1 %         SliceDeviceOperation                                               2         2 μs          1 μs     23                                                       BF16 => BF16
 4071    0.1 %         TilizeWithValPaddingDeviceOperation                                2         2 μs          1 μs      1                                                       BF16 => BF16
 4076    0.2 %         ConcatDeviceOperation                                              2         4 μs          1 μs    110                                                 BF16, BF16 => BF16
 4084    0.8 %         TypecastDeviceOperation                                            2        19 μs          1 μs    110                                                       BF16 => BFP8
 4090    0.1 %         TypecastDeviceOperation                                            1         1 μs          2 μs     90                                                       BF16 => BFP8
 4107    0.2 %         PagedUpdateCacheDeviceOperation                                    1         3 μs          1 μs      1                                                 BFP8, BF16 => BFP8
 4110    0.1 %         NLPConcatHeadsDecodeDeviceOperation                                1         1 μs          1 μs     16                                                       BF16 => BF16
 4111    0.6 %   SLOW  MatmulDeviceOperation 32 x 1024 x 2944                             1        14 μs          1 μs     16  210 GB/s  40.9 %  13.4 TFLOPs   15.2 %   LoFi BF16 x BFP8 => BF16
 4120    0.4 %         MatmulDeviceOperation 32 x 2880 x 128                              1         7 μs          1 μs     10                     3.3 TFLOPs   12.0 %  HiFi2 BFP8 x BF16 => BFP8
 4129    0.1 %         TypecastDeviceOperation                                            1         1 μs          1 μs      1                                                   UINT16 => UINT32
 4130    0.1 %         UnaryDeviceOperation                                               1         2 μs          1 μs    110                                                       BF16 => BF16
 4140    0.1 %         UnaryDeviceOperation                                               1         2 μs          1 μs    110                                                 BF16, BF16 => BF16
 4145    0.1 %         BinaryNgDeviceOperation                                            1         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 4147    0.1 %         ReshapeViewDeviceOperation                                         1         2 μs          1 μs     92                                                       BF16 => BF16
 4154    0.1 %         UntilizeWithUnpaddingDeviceOperation                               1         1 μs          1 μs      1                                                       BF16 => BF16
 4162    0.2 %         MorehSumOperation                                                  1         3 μs          1 μs     90                                                       BF16 => BF16
 4163    0.1 %         BinaryNgDeviceOperation                                            1         2 μs          1 μs    110                                                 BFP8, BF16 => BF16
 4171    0.2 %         PagedUpdateCacheDeviceOperation                                    1         3 μs          1 μs      1                                                 BFP8, BF16 => BFP8
 4172    0.2 %         PagedUpdateCacheDeviceOperation                                    1         3 μs          1 μs      1                                                 BFP8, BF16 => BFP8
 4182    0.1 %         BinaryNgDeviceOperation                                            1         2 μs          1 μs    110                                                 BF16, BFP8 => BFP8
 4190    0.1 %         SliceDeviceOperation                                               1         1 μs          1 μs      1                                                       BF16 => BF16
 4192    0.3 %         SoftmaxDeviceOperation                                             1         7 μs          1 μs      1                                                       BF16 => BF16
 4203    0.1 %         SliceDeviceOperation                                               1         2 μs          1 μs      4                                                       BF16 => BF16
 4206    0.1 %         UnaryDeviceOperation                                               1         2 μs          1 μs    110                                                 BF16, BF16 => BF16
 4208    0.1 %         UnaryDeviceOperation                                               1         3 μs          1 μs    110                                                       BF16 => BF16
 4209    0.1 %         BinaryNgDeviceOperation                                            1         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 4210    0.1 %         BinaryNgDeviceOperation                                            1         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 4212    0.1 %         ReshapeViewDeviceOperation                                         1         2 μs          1 μs     92                                                       BF16 => BF16
 4217    0.2 %         TilizeWithValPaddingDeviceOperation                                1         4 μs          2 μs     90                                                       BF16 => BF16
 4219    0.1 %         UntilizeWithUnpaddingDeviceOperation                               1         1 μs          1 μs      1                                                       BF16 => BF16
 4220    0.2 %         ReshapeViewDeviceOperation                                         1         1 μs          4 μs    110                                                       BF16 => BF16
 4222    0.3 %         BinaryNgDeviceOperation                                            1         4 μs          3 μs    110                                                 BF16, BF16 => BF16
 4227    0.2 %         MorehSumOperation                                                  1         3 μs          1 μs     90                                                       BF16 => BF16
 4228    0.1 %         BinaryNgDeviceOperation                                            1         2 μs          0 μs    110                                                 BFP8, BF16 => BF16
 4229    0.1 %         InterleavedToShardedDeviceOperation                                1         1 μs          1 μs     10                                                       BF16 => BF16
 4230    0.3 %         LayerNormDeviceOperation                                           1         6 μs          1 μs     10                                                 BF16, BF16 => BF16
 4233    1.1 %         FillPadDeviceOperation                                             1        25 μs          1 μs    110                                                       BF16 => BF16
 4235    0.1 %         PlusOneDeviceOperation                                             1         1 μs          1 μs      1                                                     INT32 => INT32
 4239    1.7 %         TilizeWithValPaddingDeviceOperation                                0         3 μs         37 μs     90                                                       BF16 => BF16
 4243    0.2 %         TransposeDeviceOperation                                           0         4 μs          1 μs     64                                                       BF16 => BF16
 4248    0.1 %         InterleavedToShardedDeviceOperation                                0         0 μs          1 μs      1                                                       BF16 => BF16
 4252    0.1 %         BinaryNgDeviceOperation                                            0         2 μs          0 μs    110                                                 BF16, BF16 => BF16
 4254    0.1 %         RotaryEmbeddingLlamaDeviceOperation                                0         2 μs          1 μs      1                                                 BF16, BF16 => BF16
 4256    0.2 %         PagedUpdateCacheDeviceOperation                                    0         4 μs          1 μs      1                                                 BFP8, BF16 => BFP8
 4259    0.1 %         InterleavedToShardedDeviceOperation                                0         1 μs          2 μs      1                                                       BF16 => BF16
 4264    0.5 %         ReduceScatterMinimalDirectDeviceOperation                          0        11 μs          1 μs      1                                                       BFP8 => BFP8
 4265    0.4 %         AllGatherDeviceOperation                                           0        10 μs          1 μs      2                                                       BFP8 => BFP8
 4267    0.1 %         BinaryNgDeviceOperation                                            0         2 μs          1 μs    110                                                 BFP8, BFP8 => BFP8
 4272    0.1 %         TypecastDeviceOperation                                            0         1 μs          1 μs      4                                                       BFP8 => BF16
 4273    0.2 %         FillPadDeviceOperation                                             0         4 μs          1 μs      4                                                       BF16 => BF16
 4274    1.0 %         TopKDeviceOperation                                                0        22 μs          2 μs      1                                                       BF16 => BF16
 4278    0.1 %         UntilizeWithUnpaddingDeviceOperation                               0         1 μs          1 μs      1                                                   UINT16 => UINT16
 4281    1.7 %   SLOW  SparseMatmulDeviceOperation active=4/128 x 32 x 2880 x 1440        0        39 μs          1 μs     45  211 GB/s  41.2 %  27.0 TFLOPs   10.9 %   LoFi BFP8 x BFP4 => BF16
 4283    0.1 %         EmbeddingsDeviceOperation                                          0         2 μs          1 μs      4                                               UINT32, BF16 => BF16
 4284    0.2 %         TilizeWithValPaddingDeviceOperation                                0         4 μs          0 μs     45                                                       BF16 => BF16
 4286    0.1 %         SliceDeviceOperation                                               0         2 μs          1 μs     23                                                       BF16 => BF16
 4287    0.1 %         UntilizeWithUnpaddingDeviceOperation                               0         3 μs          0 μs     45                                                       BF16 => BF16
 4288    0.1 %         SliceDeviceOperation                                               0         2 μs          1 μs      4                                                       BF16 => BF16
 4298    0.1 %         UnaryDeviceOperation                                               0         3 μs          1 μs    110                                                       BF16 => BF16
 4300    0.2 %         ReshapeViewDeviceOperation                                         0         4 μs          0 μs     90                                                       BF16 => BF16
 4306    0.2 %         TilizeWithValPaddingDeviceOperation                                0         2 μs          1 μs      1                                                       BF16 => BF16
 4317    0.1 %         BinaryNgDeviceOperation                                            0         2 μs          1 μs    110                                                 BF16, BF16 => BF16
 4319    0.1 %         RotaryEmbeddingLlamaDeviceOperation                                0         2 μs          1 μs      1                                                 BF16, BF16 => BF16
 4320    0.1 %         RotaryEmbeddingLlamaDeviceOperation                                0         2 μs          1 μs      1                                                 BF16, BF16 => BF16
 4325    0.1 %         NLPConcatHeadsDecodeDeviceOperation                                0         1 μs          1 μs     16                                                       BF16 => BF16
 4327    0.1 %         BinaryNgDeviceOperation                                            0         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 4328    0.1 %         TypecastDeviceOperation                                            0         2 μs          1 μs     92                                                       BF16 => BFP8
 4329    0.5 %         ReduceScatterMinimalDirectDeviceOperation                          0        11 μs          1 μs      1                                                       BFP8 => BFP8
 4330    0.4 %         AllGatherDeviceOperation                                           0        10 μs          1 μs      2                                                       BFP8 => BFP8
 4335    0.4 %         MatmulDeviceOperation 32 x 2880 x 128                              0         7 μs          1 μs     10                     3.3 TFLOPs   11.9 %  HiFi2 BFP8 x BF16 => BFP8
 4336    0.1 %         BinaryNgDeviceOperation                                            0         2 μs          1 μs    110                                                 BFP8, BF16 => BFP8
 4338    0.2 %         FillPadDeviceOperation                                             0         4 μs          1 μs      4                                                       BF16 => BF16
 4339    1.0 %         TopKDeviceOperation                                                0        22 μs          1 μs      1                                                       BF16 => BF16
 4345    0.1 %         UnaryDeviceOperation                                               0         2 μs          1 μs    110                                                       BF16 => BF16
 4348    0.1 %         EmbeddingsDeviceOperation                                          0         2 μs          1 μs      4                                               UINT32, BF16 => BF16
 4349    0.2 %         TilizeWithValPaddingDeviceOperation                                0         4 μs          0 μs     45                                                       BF16 => BF16
 4355    0.1 %         UnaryDeviceOperation                                               0         2 μs          1 μs    110                                                 BF16, BF16 => BF16
 4357    0.2 %         BinaryNgDeviceOperation                                            0         3 μs          1 μs    110                                                       BF16 => BF16
 4361    0.1 %         BinaryNgDeviceOperation                                            0         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 4363    0.1 %         UnaryDeviceOperation                                               0         3 μs          1 μs    110                                                       BF16 => BF16
 4364    1.4 %   SLOW  SparseMatmulDeviceOperation active=4/128 x 32 x 736 x 2880         0        32 μs          1 μs     15  133 GB/s  26.0 %  17.0 TFLOPs   20.6 %   LoFi BF16 x BFP4 => BF16
 4366    0.1 %         EmbeddingsDeviceOperation                                          0         2 μs          1 μs      4                                               UINT32, BF16 => BF16
 4368    0.2 %         BinaryNgDeviceOperation                                            0         2 μs          2 μs    110                                                 BF16, BF16 => BF16
 4386    0.1 %         PlusOneDeviceOperation                                             0         1 μs          1 μs      1                                                   UINT32 => UINT32
 4387    1.4 %         TypecastDeviceOperation                                            3        19 μs         15 μs    110                                                       BFP8 => BF16
 4397    0.1 %         TypecastDeviceOperation                                            3         2 μs          1 μs      4                                                    UINT32 => INT32
 4398    0.1 %         BinaryNgDeviceOperation                                            3         3 μs          1 μs    110                                             INT32, INT32 => UINT32
 4400    0.2 %         ReduceDeviceOperation                                              3         2 μs          1 μs      1                                                       BF16 => BF16
 4402    0.2 %         BinaryNgDeviceOperation                                            3         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 4405    0.1 %         BinaryNgDeviceOperation                                            3         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 4409    0.1 %         BinaryNgDeviceOperation                                            3         3 μs          1 μs    110                                              INT32, INT32 => INT32
 4418    2.7 %         SamplingDeviceOperation                                            3        27 μs         36 μs     32                                             BF16, UINT32 => UINT32
 4421    1.0 %         SliceDeviceOperation                                               2        23 μs          0 μs    110                                                       BF16 => BF16
 4433    0.2 %         BinaryNgDeviceOperation                                            2         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 4435    0.1 %         UnaryDeviceOperation                                               2         2 μs          1 μs    110                                                       BF16 => BF16
 4438    0.1 %         TypecastDeviceOperation                                            2         2 μs          1 μs      4                                                    UINT32 => INT32
 4445    0.1 %         BinaryNgDeviceOperation                                            2         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 4452    0.1 %         SliceDeviceOperation                                               1         2 μs          1 μs    110                                                       BF16 => BF16
 4463    0.3 %         UntilizeDeviceOperation                                            1         5 μs          1 μs      1                                                   UINT32 => UINT32
 4472    0.1 %         TypecastDeviceOperation                                            1         2 μs          1 μs      4                                                      BF16 => INT32
 4475    0.3 %         BinaryNgDeviceOperation                                            1         7 μs          1 μs    110                                              INT32, INT32 => INT32
 4476    0.1 %         TypecastDeviceOperation                                            1         2 μs          1 μs      4                                                      INT32 => BF16
 4478    0.2 %         BinaryNgDeviceOperation                                            1         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 4479    0.2 %         BinaryNgDeviceOperation                                            1         2 μs          2 μs    110                                                 BF16, BF16 => BF16
 4480    0.2 %         BinaryNgDeviceOperation                                            1         1 μs          4 μs    110                                                 BF16, BF16 => BF16
 4486    1.2 %         BinaryNgDeviceOperation                                            0        28 μs          1 μs    110                                                 BF16, BF16 => BF16
 4487    1.1 %         ConcatDeviceOperation                                              0        24 μs          1 μs    110                                                 BF16, BF16 => BF16
 4488    1.2 %         TopkRoutePrepDeviceOperation                                       0        27 μs          1 μs     86                                                       BF16 => BF16
 4489   12.0 %         TopkLargeIndicesDeviceOperation                                    0       280 μs          1 μs    110                                                     BF16 => UINT32
 4490    1.0 %         TopkRouteFinishDeviceOperation                                     0        21 μs          1 μs      2                                               BF16, UINT32 => BF16
 4491    0.4 %         AllGatherDeviceOperation                                           0         7 μs          1 μs      2                                                       BF16 => BF16
 4492    0.3 %         AllGatherDeviceOperation                                           0         7 μs          1 μs      2                                                   UINT32 => UINT32
 4500    0.2 %         BinaryNgDeviceOperation                                            0         3 μs          1 μs    110                                                       BF16 => BF16
 4503    0.2 %         BinaryNgDeviceOperation                                            0         3 μs          1 μs    110                                                       BF16 => BF16
 4506    0.2 %         ReduceDeviceOperation                                              0         3 μs          1 μs      1                                                     INT32 => INT32
 4513    1.0 %         ManualSeedDeviceOperation                                          0        18 μs          5 μs    110                                           UINT32, UINT32 => UINT32
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       100.0 %         182 device ops, 0 host ops, 0 signposts                                  2,062 μs        278 μs         111 GB/s  21.7 %

💡 Advice 💡
============

High Op-to-Op Gap
----------------
 4239    1.7 %         TilizeWithValPaddingDeviceOperation                                0         3 μs         37 μs     90                                                       BF16 => BF16
 4387    1.4 %         TypecastDeviceOperation                                            3        19 μs         15 μs    110                                                       BFP8 => BF16
 4418    2.7 %         SamplingDeviceOperation                                            3        27 μs         36 μs     32                                             BF16, UINT32 => UINT32

These ops have a >6 μs gap since the previous operation. Running with tracing could save 70 μs (3.0% of overall time)
Alternatively ensure device is not waiting for the host. Experts can try moving runtime args in the kernels to compile-time args.

Matmul Optimization
-------------------
 3849    1.4 %   SLOW  SparseMatmulDeviceOperation active=4/128 x 32 x 736 x 2880         3        32 μs          1 μs     15  134 GB/s  26.1 %  17.1 TFLOPs   20.6 %   LoFi BF16 x BFP4 => BF16
- in0_block_w=23 and output subblock 1x6 look good 🤷
- Use HiFi2 or HiFi4 with BF16 activations for improved accuracy

 3931   30.3 %   SLOW  MatmulDeviceOperation 32 x 2880 x 65536                            3       707 μs          1 μs     10  270 GB/s  52.7 %  17.1 TFLOPs   61.8 %  HiFi2 BF16 x BFP8 => BFP8
- Output subblock 1x1 is small, try out_subblock_h * out_subblock_w >= 2 if possible
- If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy

 3951    0.8 %   SLOW  MatmulDeviceOperation 32 x 2880 x 1280                             2        17 μs          1 μs     10  217 GB/s  42.4 %  13.9 TFLOPs   25.1 %   LoFi BFP8 x BFP8 => BF16
- in0_block_w=9 and output subblock 1x4 look good 🤷
- HiFi2 is recommended for accuracy; LoFi discards the lowest 2 bits of the weights

 4016    0.8 %   SLOW  MatmulDeviceOperation 32 x 2880 x 1280                             2        17 μs          1 μs     10  216 GB/s  42.2 %  13.8 TFLOPs   25.0 %   LoFi BF16 x BFP8 => BF16
- in0_block_w=9 and output subblock 1x4 look good 🤷
- Use HiFi2 or HiFi4 with BF16 activations for improved accuracy

 4026    0.6 %   SLOW  MatmulDeviceOperation 32 x 1024 x 2944                             2        14 μs          1 μs     16  211 GB/s  41.3 %  13.5 TFLOPs   15.3 %   LoFi BF16 x BFP8 => BF16
- in0_block_w=2 and output subblock 1x6 look good 🤷
- Use HiFi2 or HiFi4 with BF16 activations for improved accuracy

 4046    1.7 %   SLOW  SparseMatmulDeviceOperation active=4/128 x 32 x 2880 x 1440        2        39 μs          1 μs     45  211 GB/s  41.3 %  27.0 TFLOPs   10.9 %   LoFi BFP8 x BFP4 => BF16
- Output subblock 1x1 is small, try out_subblock_h * out_subblock_w >= 2 if possible

 4111    0.6 %   SLOW  MatmulDeviceOperation 32 x 1024 x 2944                             1        14 μs          1 μs     16  210 GB/s  40.9 %  13.4 TFLOPs   15.2 %   LoFi BF16 x BFP8 => BF16
- in0_block_w=2 and output subblock 1x6 look good 🤷
- Use HiFi2 or HiFi4 with BF16 activations for improved accuracy

 4120    0.4 %         MatmulDeviceOperation 32 x 2880 x 128                              1         7 μs          1 μs     10                     3.3 TFLOPs   12.0 %  HiFi2 BFP8 x BF16 => BFP8
✅ Optimized

 4281    1.7 %   SLOW  SparseMatmulDeviceOperation active=4/128 x 32 x 2880 x 1440        0        39 μs          1 μs     45  211 GB/s  41.2 %  27.0 TFLOPs   10.9 %   LoFi BFP8 x BFP4 => BF16
- Output subblock 1x1 is small, try out_subblock_h * out_subblock_w >= 2 if possible

 4335    0.4 %         MatmulDeviceOperation 32 x 2880 x 128                              0         7 μs          1 μs     10                     3.3 TFLOPs   11.9 %  HiFi2 BFP8 x BF16 => BFP8
✅ Optimized

 4364    1.4 %   SLOW  SparseMatmulDeviceOperation active=4/128 x 32 x 736 x 2880         0        32 μs          1 μs     15  133 GB/s  26.0 %  17.0 TFLOPs   20.6 %   LoFi BF16 x BFP4 => BF16
- in0_block_w=23 and output subblock 1x6 look good 🤷
- Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
