Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'MC_HOST_DECODE_L3'.
Using operations until 'MC_HOST_DECODE_L3_END'.
Detected data from 2 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                                     Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity            
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 6897    0.1 %         ReshapeViewDeviceOperation                                        1         4 μs                   80                                                       BF16 => BF16
 6930    0.1 %         EmbeddingsDeviceOperation                                         1         1 μs          1 μs      1                                               UINT32, BF16 => BF16
 6932    0.2 %         UntilizeCodegenDeviceOperation                                    1         5 μs          1 μs    110                                                       BF16 => BF16
 6933    0.1 %         EmbeddingsDeviceOperation                                         1         1 μs          1 μs      1                                               UINT32, BF16 => BF16
 6934    0.1 %         TilizeWithValPaddingDeviceOperation                               1         3 μs          1 μs      1                                                       BF16 => BF16
 6936    0.1 %         RotaryEmbeddingHfDeviceOperation                                  1         4 μs          1 μs     12                                                 BF16, BF16 => BF16
 6939    0.1 %         SliceDeviceOperation                                              1         1 μs          1 μs      2                                                       BF16 => BF16
 6941    0.1 %         SliceDeviceOperation                                              1         1 μs          1 μs      6                                                       BF16 => BF16
 6942    0.1 %         ConcatDeviceOperation                                             1         1 μs          1 μs      8                                                 BF16, BF16 => BF16
 6943    0.2 %         PermuteDeviceOperation                                            1         5 μs          1 μs     96                                                       BF16 => BF16
 6944    0.1 %         TransposeDeviceOperation                                          1         1 μs          1 μs      8                                                       BF16 => BF16
 6945    0.1 %         SliceDeviceOperation                                              1         1 μs          1 μs      8                                                       BF16 => BF16
 6948    0.1 %         ConcatDeviceOperation                                             1         2 μs          1 μs     16                                                 BF16, BF16 => BF16
 6949    0.2 %         FillPadDeviceOperation                                            1         5 μs          1 μs      8                                                       BF16 => BF16
 6951    0.2 %         FillPadDeviceOperation                                            1         5 μs          1 μs      1                                                       BF16 => BF16
 6952    0.0 %         ReshardDeviceOperation                                            1         0 μs          1 μs      1                                                       BF16 => BF16
 6953    0.2 %         FillPadDeviceOperation                                            1         4 μs          1 μs      4                                                       BF16 => BF16
 6954    0.1 %         InterleavedToShardedDeviceOperation                               1         1 μs          1 μs      1                                                       BF16 => BF16
 6955    0.1 %         PagedFusedUpdateCacheDeviceOperation                              1         4 μs          1 μs      2                                                 BFP8, BF16 => BFP8
 6956    0.1 %         PagedUpdateCacheDeviceOperation                                   1         3 μs          1 μs      1                                                 BFP8, BF16 => BFP8
 6962    0.1 %         UnaryDeviceOperation                                              1         2 μs          1 μs    110                                                     INT32 => INT32
 6963    0.2 %         TilizeWithValPaddingDeviceOperation                               1         5 μs          1 μs      1                                                     INT32 => INT32
 6965    0.3 %         FillPadDeviceOperation                                            1        10 μs          1 μs      1                                                   UINT32 => UINT32
 6966    0.1 %         SliceDeviceOperation                                              1         2 μs          1 μs      2                                                     INT32 => INT32
 6967    0.9 %         GatherDeviceOperation                                             1        30 μs          1 μs      1                                             INT32, UINT32 => INT32
 6968    0.3 %         TernaryDeviceOperation                                            1         8 μs          1 μs    110                                              INT32, INT32 => INT32
 6969    0.1 %         TypecastDeviceOperation                                           1         1 μs          1 μs      1                                                    INT32 => UINT32
 6970    0.1 %         UntilizeWithUnpaddingDeviceOperation                              1         1 μs          1 μs      1                                                   UINT32 => UINT32
 6974    0.2 %         FillPadDeviceOperation                                            1         5 μs          1 μs      4                                                       BF16 => BF16
 6976    0.2 %         LayerNormDeviceOperation                                          1         4 μs          1 μs      1                                                 BF16, BF16 => BF16
 6977    0.1 %         TypecastDeviceOperation                                           1         1 μs          1 μs      1                                                    INT32 => UINT32
 6983    0.1 %         TilizeWithValPaddingDeviceOperation                               1         3 μs          1 μs      1                                                       BF16 => BF16
 6986    0.1 %         SliceDeviceOperation                                              1         2 μs          1 μs      2                                                       BF16 => BF16
 6987    0.1 %         ConcatDeviceOperation                                             1         2 μs          1 μs      4                                                 BF16, BF16 => BF16
 6988    0.1 %         PermuteDeviceOperation                                            1         4 μs          1 μs      4                                                       BF16 => BF16
 6989    0.2 %         FillPadDeviceOperation                                            1         5 μs          1 μs      4                                                       BF16 => BF16
 6991    0.1 %         PagedUpdateCacheDeviceOperation                                   1         3 μs          1 μs      1                                                 BF16, BF16 => BF16
 6992    0.3 %         ReshapeViewDeviceOperation                                        1        11 μs          1 μs    110                                                       BF16 => BF16
 6993    0.2 %         TilizeWithValPaddingDeviceOperation                               1         6 μs          1 μs      1                                                     INT32 => INT32
 6994    0.1 %         TypecastDeviceOperation                                           1         2 μs          1 μs     32                                                    INT32 => UINT32
 6996    0.1 %         SliceDeviceOperation                                              1         1 μs          1 μs      2                                                     INT32 => INT32
 6997   29.5 %         GatherDeviceOperation                                             1       986 μs          2 μs      1                                             INT32, UINT32 => INT32
 7000    0.5 %         UntilizeWithUnpaddingDeviceOperation                              1        15 μs          1 μs      1                                                   UINT32 => UINT32
 7001    0.1 %         UntilizeCodegenDeviceOperation                                    1         3 μs          1 μs     64                                                       BF16 => BF16
 7002    0.1 %         EmbeddingsDeviceOperation                                         1         4 μs          1 μs     32                                               UINT32, BF16 => BF16
 7003    0.3 %   SLOW  MatmulDeviceOperation b={4} x 32 x 128 x 128                      1        10 μs          1 μs     32   56 GB/s  10.9 %   0.4 TFLOPs    0.9 %  HiFi4 BF16 x BF16 => BF16
 7005    0.2 %         FillPadDeviceOperation                                            1         5 μs          1 μs    110                                                       BF16 => BF16
 7006    0.1 %         FastReduceNCDeviceOperation                                       1         2 μs          1 μs     32                                                       BF16 => BF16
 7007    0.1 %         SliceDeviceOperation                                              1         2 μs          1 μs     32                                                       BF16 => BF16
 7008    0.2 %         BinaryNgDeviceOperation                                           1         5 μs          0 μs    110                                                     INT32 => INT32
 7012    0.1 %         TypecastDeviceOperation                                           1         2 μs          1 μs     32                                                      INT32 => BF16
 7013    0.1 %         BinaryNgDeviceOperation                                           1         3 μs          0 μs    110                                                 BF16, BF16 => BF16
 7016    0.2 %         TopkRouteFinishDeviceOperation                                    1         5 μs          1 μs     32                                               BF16, UINT32 => BF16
 7019    0.9 %         TernaryDeviceOperation                                            1        28 μs          1 μs    110                                              INT32, INT32 => INT32
 7020    0.1 %         ReshapeViewDeviceOperation                                        1         3 μs          1 μs     64                                                     INT32 => INT32
 7024    0.1 %         TilizeWithValPaddingDeviceOperation                               1         3 μs          1 μs      1                                                     INT32 => INT32
 7027    0.2 %         BinaryNgDeviceOperation                                           1         6 μs          1 μs    110                                               INT32, INT32 => BF16
 7031    0.1 %         PermuteDeviceOperation                                            1         2 μs          2 μs      1                                                     INT32 => INT32
 7032    0.3 %         ConcatDeviceOperation                                             1         9 μs          1 μs    110                                              INT32, INT32 => INT32
 7034    0.5 %         TilizeWithValPaddingDeviceOperation                               1         4 μs         13 μs     65                                                     INT32 => INT32
 7035    0.7 %         UntilizeWithUnpaddingDeviceOperation                              1         1 μs         22 μs     64                                                       BF16 => BF16
 7036    0.1 %         UntilizeWithUnpaddingDeviceOperation                              1         1 μs          1 μs      1                                                       BF16 => BF16
 7037    0.2 %         PermuteDeviceOperation                                            1         3 μs          4 μs     64                                                       BF16 => BF16
 7038    0.1 %         PermuteDeviceOperation                                            1         1 μs          1 μs      1                                                       BF16 => BF16
 7039    0.3 %         ConcatDeviceOperation                                             1         8 μs          2 μs    110                                                 BF16, BF16 => BF16
 7040    0.2 %         PermuteDeviceOperation                                            1         5 μs          1 μs     65                                                       BF16 => BF16
 7042    0.4 %         FillPadDeviceOperation                                            1        10 μs          3 μs     65                                                     INT32 => INT32
 7043    0.4 %         FillPadDeviceOperation                                            1        11 μs          1 μs     65                                                       BF16 => BF16
 7046    0.1 %         UnaryDeviceOperation                                              1         2 μs          1 μs    110                                                     INT32 => INT32
 7047    0.2 %         TilizeWithValPaddingDeviceOperation                               1         5 μs          1 μs      1                                                     INT32 => INT32
 7050    0.1 %         SliceDeviceOperation                                              1         2 μs          1 μs      2                                                     INT32 => INT32
 7051    1.6 %         GatherDeviceOperation                                             1        51 μs          1 μs     65                                             INT32, UINT32 => INT32
 7052    0.4 %         TernaryDeviceOperation                                            1        13 μs          1 μs    110                                              INT32, INT32 => INT32
 7053    0.1 %         TypecastDeviceOperation                                           1         2 μs          1 μs     65                                                    INT32 => UINT32
 7055    0.3 %         UntilizeCodegenDeviceOperation                                    1        10 μs          1 μs    110                                                       BFP8 => BF16
 7056    0.3 %         EmbeddingsDeviceOperation                                         1         9 μs          1 μs     65                                               UINT32, BF16 => BF16
 7057    0.1 %         UntilizeWithUnpaddingDeviceOperation                              1         2 μs          1 μs     65                                                   UINT32 => UINT32
 7058    0.3 %         UntilizeCodegenDeviceOperation                                    1        10 μs          0 μs    110                                                       BFP8 => BF16
 7059    0.3 %         EmbeddingsDeviceOperation                                         1         8 μs          1 μs     65                                               UINT32, BF16 => BF16
 7061    0.1 %         PermuteDeviceOperation                                            1         3 μs          0 μs     96                                                       BF16 => BF16
 7062    0.6 %         UntilizeWithUnpaddingDeviceOperation                              1         2 μs         18 μs     65                                                       BF16 => BF16
 7063    0.2 %         RepeatDeviceOperation                                             1         2 μs          4 μs    110                                                       BF16 => BF16
 7065    1.7 %         SdpaDecodeDeviceOperation                                         1        49 μs          7 μs    110                                                 BF16, BF16 => BF16
 7067    0.1 %         BinaryNgDeviceOperation                                           1         4 μs          1 μs    110                                                 BF16, BF16 => BF16
 7072    0.3 %         BinaryNgDeviceOperation                                           1        10 μs          1 μs    110                                                 BF16, BF16 => BF16
 7076    0.7 %         LayerNormDeviceOperation                                          1        24 μs          1 μs      1                                                       BF16 => BF16
 7077    0.1 %         ReshapeViewDeviceOperation                                        1         4 μs          1 μs     80                                                       BF16 => BF16
 7078    0.1 %         BinaryNgDeviceOperation                                           1         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 7082    0.1 %         SliceDeviceOperation                                              1         1 μs          1 μs      1                                                       BF16 => BF16
 7084    0.5 %   SLOW  MatmulDeviceOperation 32 x 320 x 10240                            1        15 μs          1 μs    107  258 GB/s  50.4 %  13.7 TFLOPs    2.3 %   LoFi BF16 x BFP8 => BF16
 7085    0.1 %         ReshapeViewDeviceOperation                                        1         4 μs          1 μs     80                                                       BF16 => BF16
 7087    0.1 %         BinaryNgDeviceOperation                                           1         4 μs          1 μs    110                                                 BF16, BF16 => BF16
 7093    0.1 %         SliceDeviceOperation                                              1         2 μs          1 μs     10                                                       BF16 => BF16
 7094    0.1 %         SliceDeviceOperation                                              1         2 μs          1 μs     10                                                       BF16 => BF16
 7095    0.1 %         SliceDeviceOperation                                              1         1 μs          1 μs      1                                                       BF16 => BF16
 7097    0.1 %         SliceDeviceOperation                                              1         1 μs          1 μs      1                                                       BF16 => BF16
 7098    0.1 %         SliceDeviceOperation                                              1         1 μs          1 μs      1                                                   UINT16 => UINT16
 7105    0.3 %   SLOW  MatmulDeviceOperation 32 x 320 x 2560                             1         9 μs          1 μs     80  114 GB/s  22.2 %   5.9 TFLOPs    1.3 %   LoFi BF16 x BFP8 => BF16
 7107    0.7 %         LayerNormDeviceOperation                                          0        24 μs          1 μs      1                                                       BF16 => BF16
 7108    0.1 %         ReshapeViewDeviceOperation                                        0         4 μs          1 μs     80                                                       BF16 => BF16
 7110    0.2 %         ReshapeViewDeviceOperation                                        0         5 μs          1 μs    110                                                       BF16 => BF16
 7112    0.1 %         SliceDeviceOperation                                              0         2 μs          1 μs     10                                                       BF16 => BF16
 7117    0.1 %         ReshapeViewDeviceOperation                                        0         4 μs          1 μs     80                                                       BF16 => BF16
 7118    0.1 %         BinaryNgDeviceOperation                                           0         4 μs          1 μs    110                                                 BF16, BF16 => BF16
 7119    0.2 %         FillPadDeviceOperation                                            0         5 μs          1 μs     80                                                       BF16 => BF16
 7120    0.1 %         ReduceDeviceOperation                                             0         2 μs          1 μs     80                                                       BF16 => BF16
 7123    0.1 %         SliceDeviceOperation                                              0         2 μs          0 μs     96                                                       BF16 => BF16
 7124    0.1 %         SliceDeviceOperation                                              0         2 μs          1 μs     16                                                       BF16 => BF16
 7126    0.1 %         CopyDeviceOperation                                               0         2 μs          0 μs    110                                                       BF16 => BF16
 7128    0.1 %         ShardedToInterleavedDeviceOperation                               0         1 μs          1 μs      1                                                       BF16 => BF16
 7129    0.1 %         ShardedToInterleavedDeviceOperation                               0         1 μs          1 μs      1                                                       BF16 => BF16
 7132    0.1 %         ReshapeViewDeviceOperation                                        0         4 μs          1 μs      4                                                       BF16 => BF16
 7133    0.1 %         TransposeDeviceOperation                                          0         2 μs          1 μs     16                                                       BF16 => BF16
 7134    0.2 %         LayerNormDeviceOperation                                          0         6 μs          1 μs     12                                                 BF16, BF16 => BF16
 7136    0.2 %         LayerNormDeviceOperation                                          0         5 μs          1 μs      4                                                 BF16, BF16 => BF16
 7138    0.2 %         UntilizeCodegenDeviceOperation                                    0         5 μs          1 μs    110                                                       BF16 => BF16
 7140    0.1 %         TilizeWithValPaddingDeviceOperation                               0         3 μs          1 μs      1                                                       BF16 => BF16
 7144    0.1 %         SliceDeviceOperation                                              0         1 μs          1 μs     24                                                       BF16 => BF16
 7146    0.1 %         SliceDeviceOperation                                              0         2 μs          1 μs     72                                                       BF16 => BF16
 7147    0.1 %         ConcatDeviceOperation                                             0         2 μs          1 μs     96                                                 BF16, BF16 => BF16
 7149    0.1 %         RotaryEmbeddingHfDeviceOperation                                  0         4 μs          1 μs      1                                                 BF16, BF16 => BF16
 7155    0.2 %         RotaryEmbeddingHfDeviceOperation                                  0         5 μs          1 μs      4                                                 BF16, BF16 => BF16
 7156    0.1 %         SliceDeviceOperation                                              0         2 μs          1 μs      8                                                       BF16 => BF16
 7159    0.1 %         InterleavedToShardedDeviceOperation                               0         1 μs          1 μs      1                                                       BF16 => BF16
 7166    0.1 %         UnaryDeviceOperation                                              0         2 μs          1 μs    110                                                     INT32 => INT32
 7167    0.2 %         BinaryNgDeviceOperation                                           0         5 μs          1 μs    110                                                     INT32 => INT32
 7168    0.1 %         TilizeWithValPaddingDeviceOperation                               0         3 μs          1 μs      1                                                     INT32 => INT32
 7169    0.2 %         BinaryNgDeviceOperation                                           0         5 μs          1 μs    110                                              INT32, INT32 => INT32
 7170    0.1 %         UnaryDeviceOperation                                              0         2 μs          1 μs    110                                                     INT32 => INT32
 7173    0.1 %         TypecastDeviceOperation                                           0         1 μs          1 μs      1                                                    INT32 => UINT32
 7180    0.2 %         UntilizeCodegenDeviceOperation                                    0         6 μs          1 μs    110                                                       BFP8 => BF16
 7181    0.1 %         EmbeddingsDeviceOperation                                         0         1 μs          1 μs      4                                               UINT32, BF16 => BF16
 7182    0.2 %         TilizeWithValPaddingDeviceOperation                               0         5 μs          1 μs      1                                                       BF16 => BF16
 7184    0.1 %         ReduceDeviceOperation                                             0         2 μs          1 μs      4                                                       BF16 => BF16
 7187    0.1 %         UntilizeCodegenDeviceOperation                                    0         3 μs          1 μs     64                                                       BF16 => BF16
 7188    0.1 %         EmbeddingsDeviceOperation                                         0         1 μs          1 μs      1                                               UINT32, BF16 => BF16
 7189    0.1 %         TilizeWithValPaddingDeviceOperation                               0         3 μs          1 μs      1                                                       BF16 => BF16
 7190    0.1 %         UntilizeCodegenDeviceOperation                                    0         3 μs          1 μs     64                                                       BF16 => BF16
 7191    0.1 %         EmbeddingsDeviceOperation                                         0         1 μs          1 μs      1                                               UINT32, BF16 => BF16
 7193    0.1 %         SliceDeviceOperation                                              0         2 μs          1 μs      2                                                       BF16 => BF16
 7194    0.2 %         RotaryEmbeddingHfDeviceOperation                                  0         4 μs          1 μs      1                                                 BF16, BF16 => BF16
 7199    0.1 %         InterleavedToShardedDeviceOperation                               0         1 μs          1 μs      1                                                       BF16 => BF16
 7204    0.2 %         FillPadDeviceOperation                                            0         5 μs          1 μs     32                                                   UINT32 => UINT32
 7207    0.3 %         TernaryDeviceOperation                                            0        10 μs          1 μs    110                                              INT32, INT32 => INT32
 7208    0.1 %         TypecastDeviceOperation                                           0         2 μs          1 μs     32                                                    INT32 => UINT32
 7213    0.1 %         UnaryDeviceOperation                                              0         3 μs          1 μs    110                                                       BF16 => BF16
 7218    0.1 %         UnaryDeviceOperation                                              0         2 μs          1 μs    110                                                     INT32 => INT32
 7219    0.1 %         TilizeWithValPaddingDeviceOperation                               0         3 μs          1 μs      1                                                     INT32 => INT32
 7220    0.2 %         BinaryNgDeviceOperation                                           0         7 μs          1 μs    110                                              INT32, INT32 => INT32
 7223    0.2 %         TopkRoutePrepDeviceOperation                                      0         6 μs          1 μs      4                                                       BF16 => BF16
 7224    0.2 %         TopkLargeIndicesDeviceOperation                                   0         6 μs          1 μs    110                                                     BF16 => UINT32
 7226    0.1 %         TypecastDeviceOperation                                           0         2 μs          1 μs     16                                                    UINT16 => INT32
 7227    0.2 %         ReshapeViewDeviceOperation                                        0         5 μs          1 μs     16                                                     INT32 => INT32
 7230    0.2 %         BinaryNgDeviceOperation                                           0         5 μs          1 μs    110                                                     INT32 => INT32
 7231    0.1 %         TilizeWithValPaddingDeviceOperation                               0         3 μs          1 μs      1                                                     INT32 => INT32
 7232    0.3 %         BinaryNgDeviceOperation                                           0         9 μs          1 μs    110                                               INT32, INT32 => BF16
 7234    0.2 %         BinaryNgDeviceOperation                                           0         5 μs          1 μs    110                                              INT32, INT32 => INT32
 7235    0.1 %         TilizeWithValPaddingDeviceOperation                               0         3 μs          1 μs      1                                                     INT32 => INT32
 7237    0.1 %         UntilizeWithUnpaddingDeviceOperation                              0         2 μs          1 μs     64                                                     INT32 => INT32
 7238    0.1 %         UntilizeWithUnpaddingDeviceOperation                              0         1 μs          1 μs      1                                                     INT32 => INT32
 7239    0.1 %         PermuteDeviceOperation                                            0         4 μs          1 μs     64                                                     INT32 => INT32
 7242    0.2 %         PermuteDeviceOperation                                            0         5 μs          1 μs     65                                                     INT32 => INT32
 7250    0.7 %         TilizeWithValPaddingDeviceOperation                               0         3 μs         20 μs     65                                                       BF16 => BF16
 7253    0.1 %         UnaryDeviceOperation                                              0         2 μs          1 μs    110                                                     INT32 => INT32
 7254    0.1 %         UnaryDeviceOperation                                              0         3 μs          1 μs    110                                                     INT32 => INT32
 7257    0.1 %         TypecastDeviceOperation                                           0         2 μs          1 μs     65                                                    INT32 => UINT32
 7258    0.2 %         FillPadDeviceOperation                                            0         5 μs          1 μs     65                                                   UINT32 => UINT32
 7263    0.1 %         UntilizeWithUnpaddingDeviceOperation                              0         2 μs          1 μs     65                                                   UINT32 => UINT32
 7269    0.1 %         UnaryDeviceOperation                                              0         2 μs          0 μs    110                                                       BF16 => BF16
 7273    1.0 %         TilizeWithValPaddingDeviceOperation                               0         7 μs         26 μs     65                                                       BF16 => BF16
 7275    0.1 %         ReshapeViewDeviceOperation                                        0         2 μs          1 μs     96                                                       BF16 => BF16
 7277    1.9 %   SLOW  MatmulDeviceOperation 32 x 3072 x 2560                            0        63 μs          1 μs     80  257 GB/s  50.2 %   8.0 TFLOPs    3.6 %  HiFi2 BF16 x BF16 => BF16
 7278    0.5 %         ReduceScatterDeviceOperation                                      0        15 μs          1 μs      5                                                       BF16 => BF16
 7279    0.3 %         AllGatherDeviceOperation                                          0         9 μs          1 μs      2                                                       BF16 => BF16
 7280    0.1 %         ReshapeViewDeviceOperation                                        0         2 μs          2 μs      1                                                       BF16 => BF16
 7282    0.2 %         ReshapeViewDeviceOperation                                        0         6 μs          1 μs    110                                                       BF16 => BF16
 7283    0.2 %         TernaryDeviceOperation                                            0         6 μs          0 μs    110                                                 BF16, BF16 => BF16
 7284    0.1 %         ReshapeViewDeviceOperation                                        0         4 μs          0 μs     80                                                       BF16 => BF16
 7288    0.2 %         ReshapeViewDeviceOperation                                        0         5 μs          1 μs    110                                                       BF16 => BF16
 7289    3.6 %   SLOW  MatmulDeviceOperation 32 x 10240 x 352                            0       120 μs          0 μs     11   36 GB/s   6.9 %   1.9 TFLOPs    3.2 %   LoFi BF16 x BFP8 => BF16
 7290    0.1 %         SliceDeviceOperation                                              0         2 μs          1 μs     10                                                       BF16 => BF16
 7292    0.1 %         UnaryDeviceOperation                                              0         3 μs          1 μs    110                                                       BF16 => BF16
 7295    0.1 %         ReshapeViewDeviceOperation                                        0         4 μs          1 μs     80                                                       BF16 => BF16
 7297    0.2 %         FillPadDeviceOperation                                            0         5 μs          1 μs     80                                                       BF16 => BF16
 7298    0.1 %         ReduceDeviceOperation                                             0         2 μs          1 μs     80                                                       BF16 => BF16
 7299    0.2 %         FillPadDeviceOperation                                            0         5 μs          1 μs     80                                                       BF16 => BF16
 7300    1.2 %   SLOW  MatmulDeviceOperation 32 x 2560 x 1184                            0        39 μs          1 μs     37   83 GB/s  16.2 %   4.9 TFLOPs    2.4 %   LoFi BF16 x BFP8 => BF16
 7301    0.1 %         SliceDeviceOperation                                              0         2 μs          1 μs     16                                                       BF16 => BF16
 7305    2.3 %         TopKDeviceOperation                                               0        75 μs          2 μs      1                                                       BF16 => BF16
 7308    0.2 %         SoftmaxDeviceOperation                                            0         5 μs          1 μs      1                                                       BF16 => BF16
 7309    0.1 %         SliceDeviceOperation                                              0         1 μs          1 μs      1                                                   UINT16 => UINT16
 7310    0.1 %         UntilizeWithUnpaddingDeviceOperation                              0         1 μs          1 μs      1                                                   UINT16 => UINT16
 7311    0.1 %         SliceDeviceOperation                                              0         1 μs          1 μs      1                                                       BF16 => BF16
 7312    0.1 %         BinaryNgDeviceOperation                                           0         4 μs          1 μs    110                                                 BF16, BF16 => BF16
 7313    0.1 %         BinaryNgDeviceOperation                                           0         4 μs          1 μs    110                                                 BF16, BF16 => BF16
 7323    0.1 %         PermuteDeviceOperation                                            1         4 μs          1 μs     10                                                       BF16 => BF16
 7328    0.1 %         BinaryNgDeviceOperation                                           1         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 7331    0.1 %         SliceDeviceOperation                                              1         2 μs          1 μs     80                                                       BF16 => BF16
 7332    0.1 %         ReshapeViewDeviceOperation                                        1         2 μs          1 μs      1                                                       BF16 => BF16
 7334    0.2 %         ReshapeViewDeviceOperation                                        1         5 μs          1 μs    110                                                       BF16 => BF16
 7336   11.1 %         ConcatDeviceOperation                                             0        66 μs        307 μs    110                                                 BFP4, BFP4 => BFP4
 7337    1.0 %         ConcatDeviceOperation                                             0        35 μs          0 μs    110                                                 BFP4, BFP4 => BFP4
 7338    0.0 %         UntilizeWithUnpaddingDeviceOperation                              0         1 μs          1 μs      1                                                       BF16 => BF16
 7339    0.1 %         UnaryDeviceOperation                                              0         2 μs          1 μs    110                                                 BF16, BF16 => BF16
 7340    2.5 %   SLOW  SparseMatmulDeviceOperation active=10/10 x 32 x 2560 x 640        0        83 μs          1 μs     20  119 GB/s  23.2 %  12.7 TFLOPs   11.5 %   LoFi BF16 x BFP4 => BF16
 7341    0.1 %         SliceDeviceOperation                                              0         2 μs          1 μs    100                                                       BF16 => BF16
 7342    0.1 %         SliceDeviceOperation                                              0         2 μs          1 μs    100                                                       BF16 => BF16
 7343    0.1 %         BinaryNgDeviceOperation                                           0         4 μs          0 μs    110                                                 BF16, BF16 => BF16
 7345    0.1 %         BinaryNgDeviceOperation                                           0         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 7346    0.1 %         UnaryDeviceOperation                                              0         4 μs          1 μs    110                                                 BF16, BF16 => BF16
 7347    0.8 %   SLOW  SparseMatmulDeviceOperation active=10/10 x 32 x 320 x 2560        0        28 μs          1 μs     40  147 GB/s  28.7 %  18.8 TFLOPs    8.5 %   LoFi BF16 x BFP4 => BF16
 7348    0.1 %         FastReduceNCDeviceOperation                                       0         3 μs          1 μs     80                                                       BF16 => BF16
 7350    0.3 %         ReduceScatterDeviceOperation                                      0        11 μs          1 μs      5                                                       BF16 => BF16
 7351    0.3 %         AllGatherDeviceOperation                                          0         9 μs          1 μs      2                                                       BF16 => BF16
 7354    0.3 %         BinaryNgDeviceOperation                                           0        10 μs          1 μs    110                                                 BF16, BF16 => BF16
 7356    0.2 %         TernaryDeviceOperation                                            0         6 μs          0 μs    110                                                 BF16, BF16 => BF16
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       100.0 %         230 device ops, 0 host ops, 0 signposts                                 2,752 μs        600 μs          32 GB/s   6.3 %                                                 

💡 Advice 💡
============

High Op-to-Op Gap
----------------
 7034    0.5 %         TilizeWithValPaddingDeviceOperation                               1         4 μs         13 μs     65                                                     INT32 => INT32
 7035    0.7 %         UntilizeWithUnpaddingDeviceOperation                              1         1 μs         22 μs     64                                                       BF16 => BF16
 7062    0.6 %         UntilizeWithUnpaddingDeviceOperation                              1         2 μs         18 μs     65                                                       BF16 => BF16
 7065    1.7 %         SdpaDecodeDeviceOperation                                         1        49 μs          7 μs    110                                                 BF16, BF16 => BF16
 7250    0.7 %         TilizeWithValPaddingDeviceOperation                               0         3 μs         20 μs     65                                                       BF16 => BF16
 7273    1.0 %         TilizeWithValPaddingDeviceOperation                               0         7 μs         26 μs     65                                                       BF16 => BF16
 7336   11.1 %         ConcatDeviceOperation                                             0        66 μs        307 μs    110                                                 BFP4, BFP4 => BFP4

These ops have a >6 μs gap since the previous operation. Running with tracing could save 371 μs (11.1% of overall time)
