Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'PERF_DECODE'.
Using operations until 'PERF_DECODE_END'.
Detected data from 1 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                        Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity            
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 1069    0.0 %         InterleavedToShardedDeviceOperation                  0         2 μs                   10                                                       BF16 => BF16
 1084    0.1 %         TilizeWithValPaddingDeviceOperation                  0        10 μs         22 μs    107                                                       FP32 => FP32
 1085    0.0 %         TernaryDeviceOperation                               0         7 μs          1 μs    110                                                 FP32, FP32 => FP32
 1086    0.2 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs         36 μs    107                                                       FP32 => FP32
 1087    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      1                                                       FP32 => FP32
 1088    0.2 %         TilizeWithValPaddingDeviceOperation                  0        10 μs         42 μs    107                                                       FP32 => FP32
 1089    0.0 %         TernaryDeviceOperation                               0         7 μs          1 μs    110                                                 FP32, FP32 => FP32
 1090    0.2 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs         35 μs    107                                                       FP32 => FP32
 1091    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      1                                                       FP32 => FP32
 1092    0.2 %         TilizeWithValPaddingDeviceOperation                  0        10 μs         42 μs    107                                                       FP32 => FP32
 1093    0.0 %         TernaryDeviceOperation                               0         8 μs          1 μs    110                                                 FP32, FP32 => FP32
 1094    0.2 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs         38 μs    107                                                       FP32 => FP32
 1095    0.0 %         SliceDeviceOperation                                 0         3 μs          1 μs      3                                                       FP32 => FP32
 1096    0.2 %         TilizeWithValPaddingDeviceOperation                  0        13 μs         43 μs    107                                                       FP32 => FP32
 1097    0.2 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs         36 μs    107                                                       FP32 => FP32
 1098    0.2 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs         44 μs    107                                                       FP32 => FP32
 1099    0.0 %         ConcatDeviceOperation                                0         3 μs          1 μs      4                                                 FP32, FP32 => FP32
 1100    0.2 %         TilizeWithValPaddingDeviceOperation                  0        14 μs         43 μs    107                                                       FP32 => FP32
 1101    0.0 %         CopyDeviceOperation                                  0         7 μs          1 μs    110                                                 FP32, FP32 => FP32
 1102    0.0 %         UnaryDeviceOperation                                 0         6 μs          1 μs    110                                                       FP32 => FP32
 1103    0.0 %         SliceDeviceOperation                                 0         1 μs          1 μs     64                                                       FP32 => FP32
 1104    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs     64                                                       FP32 => FP32
 1105    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs    110                                                       FP32 => FP32
 1106    0.0 %         ReshapeViewDeviceOperation                           0         9 μs          1 μs      4                                                       FP32 => FP32
 1107    0.0 %         TypecastDeviceOperation                              0         2 μs          1 μs      4                                                       FP32 => BF16
 1108    0.0 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs          1 μs      1                                                       BF16 => BF16
 1109    0.0 %         ConcatDeviceOperation                                0         2 μs          1 μs     48                                                 BF16, BF16 => BF16
 1110    0.0 %         TilizeWithValPaddingDeviceOperation                  0         4 μs          1 μs      2                                                       BF16 => BF16
 1111    0.0 %         TypecastDeviceOperation                              0         2 μs          1 μs      8                                                       BF16 => FP32
 1112    0.0 %         ReshapeViewDeviceOperation                           0         4 μs          0 μs    110                                                       FP32 => FP32
 1113    0.0 %         ReshapeViewDeviceOperation                           0         9 μs          1 μs      4                                                       FP32 => FP32
 1114    0.0 %         TypecastDeviceOperation                              0         2 μs          1 μs      4                                                       FP32 => BF16
 1115    0.0 %         UntilizeWithUnpaddingDeviceOperation                 0         6 μs          1 μs      1                                                       BF16 => BF16
 1116    0.0 %         ConcatDeviceOperation                                0         2 μs          1 μs     48                                                 BF16, BF16 => BF16
 1117    0.0 %         TilizeWithValPaddingDeviceOperation                  0         4 μs          1 μs      2                                                       BF16 => BF16
 1118    0.0 %         TypecastDeviceOperation                              0         2 μs          1 μs      8                                                       BF16 => FP32
 1119    0.0 %         ReshapeViewDeviceOperation                           0         4 μs          0 μs    110                                                       FP32 => FP32
 1120    0.1 %         ReshapeViewDeviceOperation                           0        17 μs          1 μs      8                                                       FP32 => FP32
 1121    0.0 %         ReshapeViewDeviceOperation                           0         4 μs          0 μs    110                                                       FP32 => FP32
 1122    0.0 %         LayerNormDeviceOperation                             0         6 μs          0 μs     48                                                 FP32, FP32 => FP32
 1123    0.0 %         LayerNormDeviceOperation                             0         6 μs          0 μs     48                                                 FP32, FP32 => FP32
 1124    0.0 %         ReshapeViewDeviceOperation                           0         4 μs          1 μs     48                                                       FP32 => FP32
 1125    0.0 %         ReshapeViewDeviceOperation                           0         4 μs          1 μs     48                                                       FP32 => FP32
 1126    0.0 %         UnaryDeviceOperation                                 0         3 μs          0 μs    110                                                       FP32 => FP32
 1127    0.1 %         BinaryNgDeviceOperation                              0        14 μs          0 μs    110                                                 FP32, FP32 => FP32
 1128    0.0 %         MatmulDeviceOperation b={48} x 32 x 128 x 128        0         9 μs          1 μs    110                     5.8 TFLOPs    3.8 %  HiFi4 FP32 x FP32 => FP32
 1129    0.0 %         BinaryNgDeviceOperation                              0         3 μs          0 μs    110                                                 FP32, FP32 => FP32
 1130    0.0 %         BinaryNgDeviceOperation                              0         6 μs          1 μs    110                                                 FP32, FP32 => FP32
 1131    0.0 %         TransposeDeviceOperation                             0         3 μs          1 μs    110                                                       FP32 => FP32
 1132    0.1 %         MatmulDeviceOperation b={48} x 128 x 32 x 128        0        13 μs          0 μs    110                     3.8 TFLOPs    2.5 %  HiFi4 FP32 x FP32 => FP32
 1133    0.0 %         BinaryNgDeviceOperation                              0         8 μs          1 μs    110                                                 FP32, FP32 => FP32
 1134    0.0 %         MatmulDeviceOperation b={48} x 32 x 128 x 128        0         9 μs          1 μs    110                     5.9 TFLOPs    3.8 %  HiFi4 FP32 x FP32 => FP32
 1135    0.1 %         CopyDeviceOperation                                  0        12 μs          1 μs    110                                                 FP32, FP32 => FP32
 1136    0.1 %         ReshapeViewDeviceOperation                           0        16 μs          1 μs      8                                                       FP32 => FP32
 1137    0.1 %         ReshapeViewDeviceOperation                           0        19 μs          1 μs      8                                                       BF16 => BF16
 1138    0.0 %         TypecastDeviceOperation                              0         2 μs          1 μs      8                                                       FP32 => BF16
 1139    0.0 %         LayerNormDeviceOperation                             0         5 μs          1 μs      2                                                 BF16, BF16 => BF16
 1140    0.0 %         BinaryNgDeviceOperation                              0         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 1141    0.0 %         ReshapeViewDeviceOperation                           0         3 μs          1 μs    110                                                       BF16 => BF16
 1142    0.7 %   DRAM  MatmulDeviceOperation 32 x 6144 x 5120               0       154 μs          1 μs     80  410 GB/s  80.0 %  13.0 TFLOPs   11.8 %  HiFi4 BF16 x BF16 => BF16
 1143    0.0 %         BinaryNgDeviceOperation                              0         4 μs          1 μs    110                                                 BF16, BF16 => BF16
 1144    0.0 %         InterleavedToShardedDeviceOperation                  0         2 μs          1 μs     10                                                       BF16 => BF16
 1145    0.0 %         LayerNormDeviceOperation                             0        10 μs          1 μs     10                                                 BF16, BF16 => BF16
 1146    0.0 %         ShardedToInterleavedDeviceOperation                  0         2 μs          1 μs     10                                                       BF16 => BF16
 1147    3.8 %   DRAM  MatmulDeviceOperation 32 x 5120 x 34816              0       865 μs          1 μs    109  415 GB/s  81.1 %  13.2 TFLOPs    8.8 %  HiFi4 BF16 x BF16 => BF16
 1148    0.0 %         SliceDeviceOperation                                 0         7 μs          0 μs    110                                                       BF16 => BF16
 1149    0.0 %         SliceDeviceOperation                                 0         7 μs          1 μs    110                                                       BF16 => BF16
 1150    0.0 %         UnaryDeviceOperation                                 0         7 μs          1 μs    110                                                       BF16 => BF16
 1151    0.0 %         BinaryNgDeviceOperation                              0         9 μs          1 μs    110                                                 BF16, BF16 => BF16
 1152    0.0 %         SliceDeviceOperation                                 0         6 μs          1 μs    110                                                       BF16 => BF16
 1153    2.0 %   DRAM  MatmulDeviceOperation 32 x 17408 x 5120              0       448 μs          1 μs     80  401 GB/s  78.4 %  12.7 TFLOPs   11.5 %  HiFi4 BF16 x BF16 => BF16
 1154    0.0 %         BinaryNgDeviceOperation                              0         4 μs          1 μs    110                                                 BF16, BF16 => BF16
 1155    0.0 %         InterleavedToShardedDeviceOperation                  0         2 μs          4 μs     10                                                       BF16 => BF16
 1156    0.1 %         LayerNormDeviceOperation                             0        10 μs          3 μs     10                                                 BF16, BF16 => BF16
 1157    0.0 %         ShardedToInterleavedDeviceOperation                  0         2 μs          1 μs     10                                                       BF16 => BF16
 1158    1.2 %   DRAM  MatmulDeviceOperation 32 x 5120 x 10240              0       261 μs          1 μs    107  408 GB/s  79.6 %  12.8 TFLOPs    8.7 %  HiFi4 BF16 x BF16 => FP32
 1159    0.7 %   DRAM  MatmulDeviceOperation 32 x 5120 x 6144               0       149 μs          1 μs     96  428 GB/s  83.6 %  13.5 TFLOPs   10.2 %  HiFi4 BF16 x BF16 => BF16
 1160    0.0 %         UnaryDeviceOperation                                 0         4 μs          1 μs    110                                                       BF16 => BF16
 1161    0.3 %   SLOW  MatmulDeviceOperation 32 x 5120 x 128                0        60 μs          1 μs      4   49 GB/s   9.7 %   0.7 TFLOPs   12.7 %  HiFi4 BF16 x FP32 => FP32
 1162    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      2                                                       FP32 => FP32
 1163    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      2                                                       FP32 => FP32
 1164    0.0 %         UnaryDeviceOperation                                 0         3 μs          1 μs    110                                                       FP32 => FP32
 1165    0.0 %         UnaryDeviceOperation                                 0         5 μs          1 μs    110                                                       FP32 => FP32
 1166    0.0 %         BinaryNgDeviceOperation                              0         3 μs          1 μs    110                                                 FP32, FP32 => FP32
 1167    0.0 %         BinaryNgDeviceOperation                              0         8 μs          1 μs    110                                                 FP32, FP32 => FP32
 1168    0.0 %         UntilizeWithUnpaddingDeviceOperation                 0         6 μs          0 μs    107                                                       FP32 => FP32
 1169    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      1                                                       FP32 => FP32
 1170    0.1 %         TilizeWithValPaddingDeviceOperation                  0        10 μs         22 μs    107                                                       FP32 => FP32
 1171    0.0 %         TernaryDeviceOperation                               0         7 μs          1 μs    110                                                 FP32, FP32 => FP32
 1172    0.2 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs         36 μs    107                                                       FP32 => FP32
 1173    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      1                                                       FP32 => FP32
 1174    0.2 %         TilizeWithValPaddingDeviceOperation                  0        11 μs         42 μs    107                                                       FP32 => FP32
 1175    0.0 %         TernaryDeviceOperation                               0         7 μs          1 μs    110                                                 FP32, FP32 => FP32
 1176    0.2 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs         35 μs    107                                                       FP32 => FP32
 1177    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      1                                                       FP32 => FP32
 1178    0.2 %         TilizeWithValPaddingDeviceOperation                  0        10 μs         42 μs    107                                                       FP32 => FP32
 1179    0.0 %         TernaryDeviceOperation                               0         8 μs          1 μs    110                                                 FP32, FP32 => FP32
 1180    0.2 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs         38 μs    107                                                       FP32 => FP32
 1181    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      3                                                       FP32 => FP32
 1182    0.2 %         TilizeWithValPaddingDeviceOperation                  0        13 μs         43 μs    107                                                       FP32 => FP32
 1183    0.2 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs         36 μs    107                                                       FP32 => FP32
 1184    0.2 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs         44 μs    107                                                       FP32 => FP32
 1185    0.0 %         ConcatDeviceOperation                                0         3 μs          1 μs      4                                                 FP32, FP32 => FP32
 1186    0.2 %         TilizeWithValPaddingDeviceOperation                  0        14 μs         43 μs    107                                                       FP32 => FP32
 1187    0.0 %         CopyDeviceOperation                                  0         7 μs          1 μs    110                                                 FP32, FP32 => FP32
 1188    0.0 %         UnaryDeviceOperation                                 0         6 μs          1 μs    110                                                       FP32 => FP32
 1189    0.0 %         SliceDeviceOperation                                 0         1 μs          1 μs     64                                                       FP32 => FP32
 1190    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs     64                                                       FP32 => FP32
 1191    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs    110                                                       FP32 => FP32
 1192    0.0 %         ReshapeViewDeviceOperation                           0         9 μs          1 μs      4                                                       FP32 => FP32
 1193    0.0 %         TypecastDeviceOperation                              0         2 μs          1 μs      4                                                       FP32 => BF16
 1194    0.0 %         UntilizeWithUnpaddingDeviceOperation                 0         6 μs          1 μs      1                                                       BF16 => BF16
 1195    0.0 %         ConcatDeviceOperation                                0         2 μs          1 μs     48                                                 BF16, BF16 => BF16
 1196    0.0 %         TilizeWithValPaddingDeviceOperation                  0         4 μs          1 μs      2                                                       BF16 => BF16
 1197    0.0 %         TypecastDeviceOperation                              0         2 μs          1 μs      8                                                       BF16 => FP32
 1198    0.0 %         ReshapeViewDeviceOperation                           0         4 μs          0 μs    110                                                       FP32 => FP32
 1199    0.0 %         ReshapeViewDeviceOperation                           0        10 μs          1 μs      4                                                       FP32 => FP32
 1200    0.0 %         TypecastDeviceOperation                              0         2 μs          1 μs      4                                                       FP32 => BF16
 1201    0.0 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs          1 μs      1                                                       BF16 => BF16
 1202    0.0 %         ConcatDeviceOperation                                0         2 μs          1 μs     48                                                 BF16, BF16 => BF16
 1203    0.0 %         TilizeWithValPaddingDeviceOperation                  0         4 μs          1 μs      2                                                       BF16 => BF16
 1204    0.0 %         TypecastDeviceOperation                              0         2 μs          1 μs      8                                                       BF16 => FP32
 1205    0.0 %         ReshapeViewDeviceOperation                           0         4 μs          0 μs    110                                                       FP32 => FP32
 1206    0.1 %         ReshapeViewDeviceOperation                           0        17 μs          1 μs      8                                                       FP32 => FP32
 1207    0.0 %         ReshapeViewDeviceOperation                           0         4 μs          0 μs    110                                                       FP32 => FP32
 1208    0.0 %         LayerNormDeviceOperation                             0         6 μs          0 μs     48                                                 FP32, FP32 => FP32
 1209    0.0 %         LayerNormDeviceOperation                             0         6 μs          0 μs     48                                                 FP32, FP32 => FP32
 1210    0.0 %         ReshapeViewDeviceOperation                           0         4 μs          1 μs     48                                                       FP32 => FP32
 1211    0.0 %         ReshapeViewDeviceOperation                           0         4 μs          1 μs     48                                                       FP32 => FP32
 1212    0.0 %         UnaryDeviceOperation                                 0         3 μs          0 μs    110                                                       FP32 => FP32
 1213    0.1 %         BinaryNgDeviceOperation                              0        13 μs          0 μs    110                                                 FP32, FP32 => FP32
 1214    0.0 %         MatmulDeviceOperation b={48} x 32 x 128 x 128        0         9 μs          1 μs    110                     5.8 TFLOPs    3.8 %  HiFi4 FP32 x FP32 => FP32
 1215    0.0 %         BinaryNgDeviceOperation                              0         4 μs          0 μs    110                                                 FP32, FP32 => FP32
 1216    0.0 %         BinaryNgDeviceOperation                              0         6 μs          1 μs    110                                                 FP32, FP32 => FP32
 1217    0.0 %         TransposeDeviceOperation                             0         3 μs          1 μs    110                                                       FP32 => FP32
 1218    0.1 %         MatmulDeviceOperation b={48} x 128 x 32 x 128        0        13 μs          0 μs    110                     3.8 TFLOPs    2.5 %  HiFi4 FP32 x FP32 => FP32
 1219    0.0 %         BinaryNgDeviceOperation                              0         8 μs          0 μs    110                                                 FP32, FP32 => FP32
 1220    0.0 %         MatmulDeviceOperation b={48} x 32 x 128 x 128        0         9 μs          1 μs    110                     5.6 TFLOPs    3.7 %  HiFi4 FP32 x FP32 => FP32
 1221    0.1 %         CopyDeviceOperation                                  0        12 μs          0 μs    110                                                 FP32, FP32 => FP32
 1222    0.1 %         ReshapeViewDeviceOperation                           0        16 μs          1 μs      8                                                       FP32 => FP32
 1223    0.1 %         ReshapeViewDeviceOperation                           0        19 μs          1 μs      8                                                       BF16 => BF16
 1224    0.0 %         TypecastDeviceOperation                              0         2 μs          1 μs      8                                                       FP32 => BF16
 1225    0.0 %         LayerNormDeviceOperation                             0         5 μs          1 μs      2                                                 BF16, BF16 => BF16
 1226    0.0 %         BinaryNgDeviceOperation                              0         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 1227    0.0 %         ReshapeViewDeviceOperation                           0         3 μs          1 μs    110                                                       BF16 => BF16
 1228    0.7 %   DRAM  MatmulDeviceOperation 32 x 6144 x 5120               0       153 μs          0 μs     80  412 GB/s  80.5 %  13.1 TFLOPs   11.9 %  HiFi4 BF16 x BF16 => BF16
 1229    0.0 %         BinaryNgDeviceOperation                              0         4 μs          1 μs    110                                                 BF16, BF16 => BF16
 1230    0.0 %         InterleavedToShardedDeviceOperation                  0         2 μs          1 μs     10                                                       BF16 => BF16
 1231    0.0 %         LayerNormDeviceOperation                             0        11 μs          1 μs     10                                                 BF16, BF16 => BF16
 1232    0.0 %         ShardedToInterleavedDeviceOperation                  0         2 μs          1 μs     10                                                       BF16 => BF16
 1233    3.8 %   DRAM  MatmulDeviceOperation 32 x 5120 x 34816              0       865 μs          1 μs    109  415 GB/s  81.1 %  13.2 TFLOPs    8.8 %  HiFi4 BF16 x BF16 => BF16
 1234    0.0 %         SliceDeviceOperation                                 0         6 μs          0 μs    110                                                       BF16 => BF16
 1235    0.0 %         SliceDeviceOperation                                 0         6 μs          1 μs    110                                                       BF16 => BF16
 1236    0.0 %         UnaryDeviceOperation                                 0         7 μs          1 μs    110                                                       BF16 => BF16
 1237    0.0 %         BinaryNgDeviceOperation                              0         9 μs          1 μs    110                                                 BF16, BF16 => BF16
 1238    0.0 %         SliceDeviceOperation                                 0         7 μs          1 μs    110                                                       BF16 => BF16
 1239    1.9 %   DRAM  MatmulDeviceOperation 32 x 17408 x 5120              0       428 μs          1 μs     80  420 GB/s  82.0 %  13.3 TFLOPs   12.1 %  HiFi4 BF16 x BF16 => BF16
 1240    0.0 %         BinaryNgDeviceOperation                              0         4 μs          1 μs    110                                                 BF16, BF16 => BF16
 1241    0.0 %         InterleavedToShardedDeviceOperation                  0         2 μs          4 μs     10                                                       BF16 => BF16
 1242    0.1 %         LayerNormDeviceOperation                             0        10 μs          3 μs     10                                                 BF16, BF16 => BF16
 1243    0.0 %         ShardedToInterleavedDeviceOperation                  0         2 μs          1 μs     10                                                       BF16 => BF16
 1244    1.2 %   DRAM  MatmulDeviceOperation 32 x 5120 x 10240              0       262 μs          1 μs    107  406 GB/s  79.3 %  12.8 TFLOPs    8.6 %  HiFi4 BF16 x BF16 => FP32
 1245    0.7 %   DRAM  MatmulDeviceOperation 32 x 5120 x 6144               0       148 μs          1 μs     96  429 GB/s  83.7 %  13.6 TFLOPs   10.2 %  HiFi4 BF16 x BF16 => BF16
 1246    0.0 %         UnaryDeviceOperation                                 0         4 μs          1 μs    110                                                       BF16 => BF16
 1247    0.3 %   SLOW  MatmulDeviceOperation 32 x 5120 x 128                0        60 μs          1 μs      4   50 GB/s   9.7 %   0.7 TFLOPs   12.7 %  HiFi4 BF16 x FP32 => FP32
 1248    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      2                                                       FP32 => FP32
 1249    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      2                                                       FP32 => FP32
 1250    0.0 %         UnaryDeviceOperation                                 0         3 μs          1 μs    110                                                       FP32 => FP32
 1251    0.0 %         UnaryDeviceOperation                                 0         5 μs          1 μs    110                                                       FP32 => FP32
 1252    0.0 %         BinaryNgDeviceOperation                              0         3 μs          1 μs    110                                                 FP32, FP32 => FP32
 1253    0.0 %         BinaryNgDeviceOperation                              0         8 μs          1 μs    110                                                 FP32, FP32 => FP32
 1254    0.0 %         UntilizeWithUnpaddingDeviceOperation                 0         6 μs          1 μs    107                                                       FP32 => FP32
 1255    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      1                                                       FP32 => FP32
 1256    0.1 %         TilizeWithValPaddingDeviceOperation                  0        10 μs         23 μs    107                                                       FP32 => FP32
 1257    0.0 %         TernaryDeviceOperation                               0         7 μs          1 μs    110                                                 FP32, FP32 => FP32
 1258    0.2 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs         36 μs    107                                                       FP32 => FP32
 1259    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      1                                                       FP32 => FP32
 1260    0.2 %         TilizeWithValPaddingDeviceOperation                  0        10 μs         42 μs    107                                                       FP32 => FP32
 1261    0.0 %         TernaryDeviceOperation                               0         7 μs          1 μs    110                                                 FP32, FP32 => FP32
 1262    0.2 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs         36 μs    107                                                       FP32 => FP32
 1263    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      1                                                       FP32 => FP32
 1264    0.2 %         TilizeWithValPaddingDeviceOperation                  0        10 μs         42 μs    107                                                       FP32 => FP32
 1265    0.0 %         TernaryDeviceOperation                               0         7 μs          1 μs    110                                                 FP32, FP32 => FP32
 1266    0.2 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs         40 μs    107                                                       FP32 => FP32
 1267    0.0 %         SliceDeviceOperation                                 0         3 μs          1 μs      3                                                       FP32 => FP32
 1268    0.2 %         TilizeWithValPaddingDeviceOperation                  0        13 μs         43 μs    107                                                       FP32 => FP32
 1269    0.2 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs         36 μs    107                                                       FP32 => FP32
 1270    0.2 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs         44 μs    107                                                       FP32 => FP32
 1271    0.0 %         ConcatDeviceOperation                                0         3 μs          1 μs      4                                                 FP32, FP32 => FP32
 1272    0.3 %         TilizeWithValPaddingDeviceOperation                  0        14 μs         43 μs    107                                                       FP32 => FP32
 1273    0.0 %         CopyDeviceOperation                                  0         7 μs          1 μs    110                                                 FP32, FP32 => FP32
 1274    0.0 %         UnaryDeviceOperation                                 0         6 μs          1 μs    110                                                       FP32 => FP32
 1275    0.0 %         SliceDeviceOperation                                 0         1 μs          1 μs     64                                                       FP32 => FP32
 1276    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs     64                                                       FP32 => FP32
 1277    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs    110                                                       FP32 => FP32
 1278    0.0 %         ReshapeViewDeviceOperation                           0         9 μs          1 μs      4                                                       FP32 => FP32
 1279    0.0 %         TypecastDeviceOperation                              0         2 μs          1 μs      4                                                       FP32 => BF16
 1280    0.0 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs          1 μs      1                                                       BF16 => BF16
 1281    0.0 %         ConcatDeviceOperation                                0         2 μs          1 μs     48                                                 BF16, BF16 => BF16
 1282    0.0 %         TilizeWithValPaddingDeviceOperation                  0         4 μs          1 μs      2                                                       BF16 => BF16
 1283    0.0 %         TypecastDeviceOperation                              0         2 μs          1 μs      8                                                       BF16 => FP32
 1284    0.0 %         ReshapeViewDeviceOperation                           0         4 μs          0 μs    110                                                       FP32 => FP32
 1285    0.0 %         ReshapeViewDeviceOperation                           0        10 μs          1 μs      4                                                       FP32 => FP32
 1286    0.0 %         TypecastDeviceOperation                              0         2 μs          1 μs      4                                                       FP32 => BF16
 1287    0.0 %         UntilizeWithUnpaddingDeviceOperation                 0         5 μs          1 μs      1                                                       BF16 => BF16
 1288    0.0 %         ConcatDeviceOperation                                0         2 μs          1 μs     48                                                 BF16, BF16 => BF16
 1289    0.0 %         TilizeWithValPaddingDeviceOperation                  0         4 μs          1 μs      2                                                       BF16 => BF16
 1290    0.0 %         TypecastDeviceOperation                              0         2 μs          1 μs      8                                                       BF16 => FP32
 1291    0.0 %         ReshapeViewDeviceOperation                           0         4 μs          0 μs    110                                                       FP32 => FP32
 1292    0.1 %         ReshapeViewDeviceOperation                           0        17 μs          1 μs      8                                                       FP32 => FP32
 1293    0.0 %         ReshapeViewDeviceOperation                           0         4 μs          0 μs    110                                                       FP32 => FP32
 1294    0.0 %         LayerNormDeviceOperation                             0         7 μs          0 μs     48                                                 FP32, FP32 => FP32
 1295    0.0 %         LayerNormDeviceOperation                             0         6 μs          0 μs     48                                                 FP32, FP32 => FP32
 1296    0.0 %         ReshapeViewDeviceOperation                           0         4 μs          1 μs     48                                                       FP32 => FP32
 1297    0.0 %         ReshapeViewDeviceOperation                           0         4 μs          1 μs     48                                                       FP32 => FP32
 1298    0.0 %         UnaryDeviceOperation                                 0         3 μs          0 μs    110                                                       FP32 => FP32
 1299    0.1 %         BinaryNgDeviceOperation                              0        14 μs          0 μs    110                                                 FP32, FP32 => FP32
 1300    0.0 %         MatmulDeviceOperation b={48} x 32 x 128 x 128        0         9 μs          0 μs    110                     5.7 TFLOPs    3.8 %  HiFi4 FP32 x FP32 => FP32
 1301    0.0 %         BinaryNgDeviceOperation                              0         3 μs          0 μs    110                                                 FP32, FP32 => FP32
 1302    0.0 %         BinaryNgDeviceOperation                              0         6 μs          1 μs    110                                                 FP32, FP32 => FP32
 1303    0.0 %         TransposeDeviceOperation                             0         3 μs          1 μs    110                                                       FP32 => FP32
