Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'PERF_PREFILL_L1'.
Using operations until 'PERF_PREFILL_L1_END'.
Detected data from 1 devices. Merging device data...
Warning: SparseMatmulDeviceOperation rows without numeric nnz were found. Their DRAM/FLOP utilization is omitted; pass --active-experts K to model K active experts per input batch group.

🚀 Performance Report 🚀
========================

ID   Total %  Bound  OP Code                                                      Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
242    0.1 %         BinaryNgDeviceOperation                                            0        19 μs                  110                                                       FP32 => FP32
310    0.1 %         BinaryNgDeviceOperation                                            0        23 μs          1 μs    110                                                 BF16, BF16 => BF16
311    0.1 %         BinaryNgDeviceOperation                                            0        23 μs          0 μs    110                                                 BF16, BF16 => BF16
312    0.3 %         ReshapeViewDeviceOperation                                         0        80 μs          0 μs    110                                                       BF16 => BF16
313    0.1 %         LayerNormDeviceOperation                                           0        26 μs          1 μs     16                                                       BF16 => BF16
314    0.0 %         ReshapeViewDeviceOperation                                         0         4 μs          1 μs     80                                                       BF16 => BF16
315    0.0 %         UntilizeWithUnpaddingDeviceOperation                               0         3 μs          1 μs     80                                                       BF16 => BF16
316    0.1 %         RepeatDeviceOperation                                              0        35 μs          1 μs    110                                                       BF16 => BF16
317    0.2 %         TilizeDeviceOperation                                              0        54 μs          1 μs     80                                                       BF16 => BF16
318    0.1 %         BinaryNgDeviceOperation                                            0        23 μs          0 μs    110                                                 BF16, BF16 => BF16
319    0.3 %         ReshapeViewDeviceOperation                                         0        80 μs          0 μs    110                                                       BF16 => BF16
320    0.8 %   SLOW  MatmulDeviceOperation 128 x 10240 x 320                            0       215 μs          0 μs     40   43 GB/s   8.4 %   3.9 TFLOPs    7.1 %  HiFi4 BF16 x BF16 => BF16
321    0.0 %         BinaryNgDeviceOperation                                            0         3 μs          1 μs    110                                                       BF16 => BF16
322    0.0 %         UnaryDeviceOperation                                               0         3 μs          1 μs    110                                                       BF16 => BF16
323    0.1 %   SLOW  MatmulDeviceOperation 128 x 320 x 10240                            0        34 μs          1 μs    107  275 GB/s  53.7 %  24.9 TFLOPs   16.9 %  HiFi4 BF16 x BF16 => BF16
324    0.1 %         UnaryDeviceOperation                                               0        20 μs          1 μs    110                                                       BF16 => BF16
325    1.1 %         ReshapeViewDeviceOperation                                         0       300 μs          1 μs    110                                                       BF16 => BF16
326    1.1 %         ReshapeViewDeviceOperation                                         0       303 μs          0 μs    110                                                       BF16 => BF16
327    0.5 %         BinaryNgDeviceOperation                                            0       143 μs          0 μs    110                                                 BF16, BF16 => BF16
328    0.4 %         FillPadDeviceOperation                                             0       112 μs          1 μs    110                                                       BF16 => BF16
329    0.4 %         ReduceDeviceOperation                                              0       109 μs          1 μs    110                                                       BF16 => BF16
330    0.4 %         BinaryNgDeviceOperation                                            0       119 μs          1 μs    110                                                       BF16 => BF16
331    0.2 %         ReshapeViewDeviceOperation                                         0        63 μs          1 μs    110                                                       BF16 => BF16
332    0.4 %   SLOW  MatmulDeviceOperation 128 x 10240 x 32                             0        99 μs          1 μs      4   33 GB/s   6.5 %   0.8 TFLOPs   15.4 %  HiFi4 BF16 x BF16 => BF16
333    0.0 %         BinaryNgDeviceOperation                                            0         3 μs          1 μs    110                                                       BF16 => BF16
334    0.0 %         UnaryDeviceOperation                                               0         3 μs          1 μs    110                                                       BF16 => BF16
335    0.0 %         BinaryNgDeviceOperation                                            0         3 μs          1 μs    110                                                       BF16 => BF16
336    0.6 %   DRAM  MatmulDeviceOperation 128 x 2560 x 10240                           0       157 μs          1 μs    107  372 GB/s  72.7 %  42.8 TFLOPs   29.0 %  HiFi4 BF16 x BF16 => FP32
337    0.3 %   DRAM  MatmulDeviceOperation 128 x 2560 x 6144                            0        85 μs          1 μs     96  398 GB/s  77.8 %  47.6 TFLOPs   35.9 %  HiFi4 BF16 x BF16 => BF16
338    0.2 %   SLOW  MatmulDeviceOperation 128 x 2560 x 64                              0        55 μs          1 μs      8   19 GB/s   3.6 %   0.8 TFLOPs    6.9 %  HiFi4 BF16 x BF16 => FP32
339    0.2 %   SLOW  MatmulDeviceOperation 128 x 2560 x 64                              0        55 μs          1 μs      8   18 GB/s   3.6 %   0.8 TFLOPs    6.9 %  HiFi4 BF16 x BF16 => FP32
340    0.0 %         UnaryDeviceOperation                                               0         3 μs          1 μs    110                                                       FP32 => FP32
341    0.0 %         BinaryNgDeviceOperation                                            0        13 μs          1 μs    110                                                 FP32, FP32 => FP32
342    0.0 %         UnaryDeviceOperation                                               0         5 μs          1 μs    110                                                       FP32 => FP32
343    0.0 %         BinaryNgDeviceOperation                                            0        13 μs          1 μs    110                                                 FP32, FP32 => FP32
344    0.0 %         UntilizeWithUnpaddingDeviceOperation                               0         5 μs          1 μs    107                                                       FP32 => FP32
345    0.2 %         UntilizeWithUnpaddingDeviceOperation                               0        45 μs          1 μs     80                                                       FP32 => FP32
346    0.1 %         ConcatDeviceOperation                                              0        29 μs          0 μs    110                                                 FP32, FP32 => FP32
347    0.3 %         TilizeWithValPaddingDeviceOperation                                0        71 μs          1 μs     64                                                       FP32 => FP32
348    0.1 %         SliceDeviceOperation                                               0        30 μs          0 μs    110                                                       FP32 => FP32
349    0.3 %         BinaryNgDeviceOperation                                            0        80 μs          1 μs    110                                                 FP32, BF16 => FP32
350    0.2 %         UntilizeWithUnpaddingDeviceOperation                               0        46 μs          1 μs     64                                                       FP32 => FP32
351    0.1 %         SliceDeviceOperation                                               0        29 μs          1 μs    110                                                       FP32 => FP32
352    0.2 %         TilizeDeviceOperation                                              0        59 μs          1 μs     80                                                       FP32 => FP32
353    0.3 %         BinaryNgDeviceOperation                                            0        80 μs          0 μs    110                                                 FP32, BF16 => FP32
354    0.2 %         BinaryNgDeviceOperation                                            0        45 μs          0 μs    110                                                 FP32, FP32 => FP32
355    0.2 %         UntilizeWithUnpaddingDeviceOperation                               0        46 μs          1 μs     64                                                       FP32 => FP32
356    0.1 %         SliceDeviceOperation                                               0        28 μs          1 μs    110                                                       FP32 => FP32
357    0.2 %         TilizeDeviceOperation                                              0        60 μs          1 μs     80                                                       FP32 => FP32
358    0.3 %         BinaryNgDeviceOperation                                            0        80 μs          1 μs    110                                                 FP32, BF16 => FP32
359    0.2 %         BinaryNgDeviceOperation                                            0        45 μs          0 μs    110                                                 FP32, FP32 => FP32
360    0.2 %         UntilizeWithUnpaddingDeviceOperation                               0        46 μs          1 μs     64                                                       FP32 => FP32
361    0.1 %         SliceDeviceOperation                                               0        29 μs          1 μs    110                                                       FP32 => FP32
362    0.2 %         TilizeDeviceOperation                                              0        60 μs          1 μs     80                                                       FP32 => FP32
363    0.3 %         BinaryNgDeviceOperation                                            0        80 μs          0 μs    110                                                 FP32, BF16 => FP32
364    0.2 %         BinaryNgDeviceOperation                                            0        45 μs          0 μs    110                                                 FP32, FP32 => FP32
365    0.0 %         SliceDeviceOperation                                               0         7 μs          0 μs    110                                                       FP32 => FP32
366    0.0 %         CloneOperation                                                     0         7 μs          1 μs    110                                                       FP32 => FP32
367    0.1 %         UnaryDeviceOperation                                               0        36 μs          1 μs    110                                                       FP32 => FP32
368    0.0 %         SliceDeviceOperation                                               0         6 μs          1 μs    110                                                       FP32 => FP32
369    0.0 %         SliceDeviceOperation                                               0         6 μs          1 μs    110                                                       FP32 => FP32
370    0.1 %         SliceDeviceOperation                                               0        16 μs          1 μs    110                                                       FP32 => FP32
371    0.0 %         TypecastDeviceOperation                                            0         5 μs          1 μs    110                                                       FP32 => BF16
372    0.0 %         TypecastDeviceOperation                                            0         6 μs          1 μs    110                                                       FP32 => BF16
373    0.0 %         TypecastDeviceOperation                                            0        11 μs          1 μs    110                                                       FP32 => BF16
374    0.0 %         TransposeDeviceOperation                                           0         2 μs          1 μs      8                                                       FP32 => FP32
375    0.0 %         TransposeDeviceOperation                                           0         2 μs          1 μs      8                                                       FP32 => FP32
376    0.0 %         ReshapeViewDeviceOperation                                         0        10 μs          0 μs    110                                                       FP32 => FP32
377    0.0 %         ReshapeViewDeviceOperation                                         0        10 μs          0 μs    110                                                       FP32 => FP32
378    0.6 %         ChunkGdnPrepOperation                                              0       125 μs         29 μs    110                                                 BF16, BF16 => FP32
379    0.5 %         ChunkGdnScanOperation                                              0        97 μs         44 μs     96                                                 FP32, FP32 => FP32
380    0.1 %         UntilizeDeviceOperation                                            0        24 μs          0 μs     96                                                       FP32 => FP32
381    0.1 %         PermuteDeviceOperation                                             0        27 μs          0 μs    110                                                       FP32 => FP32
382    0.1 %         TilizeWithValPaddingDeviceOperation                                0        24 μs          0 μs     86                                                       FP32 => FP32
383    0.1 %         LayerNormDeviceOperation                                           0        26 μs          1 μs    110                                                 FP32, BF16 => FP32
384    0.6 %         ReshapeViewDeviceOperation                                         0       175 μs          1 μs    110                                                       BF16 => BF16
385    0.0 %         UnaryDeviceOperation                                               0        11 μs          0 μs    110                                                       BF16 => BF16
386    0.1 %         BinaryNgDeviceOperation                                            0        25 μs          1 μs    110                                                 FP32, BF16 => FP32
387    1.3 %         ReshapeViewDeviceOperation                                         0       366 μs          0 μs    110                                                       FP32 => FP32
388    0.7 %   SLOW  MatmulDeviceOperation 128 x 6144 x 2560                            0       193 μs          1 μs     80  182 GB/s  35.6 %  20.8 TFLOPs   18.8 %  HiFi4 FP32 x BF16 => BF16
389    0.5 %         ReshapeViewDeviceOperation                                         0       131 μs          1 μs    110                                                       BF16 => BF16
390    0.0 %         ReshapeViewDeviceOperation                                         0         4 μs          0 μs    110                                                       BF16 => BF16
391    0.5 %         BinaryNgDeviceOperation                                            0       134 μs          0 μs    110                                                 BF16, BF16 => BF16
392    1.6 %         ReshapeViewDeviceOperation                                         0       429 μs          1 μs    110                                                       BF16 => BF16
393    0.1 %         BinaryNgDeviceOperation                                            0        23 μs          0 μs    110                                                 BF16, BF16 => BF16
394    0.3 %         ReshapeViewDeviceOperation                                         0        80 μs          0 μs    110                                                       BF16 => BF16
395    0.1 %         LayerNormDeviceOperation                                           0        26 μs          0 μs     16                                                       BF16 => BF16
396    0.0 %         ReshapeViewDeviceOperation                                         0         4 μs          1 μs     80                                                       BF16 => BF16
397    0.0 %         UntilizeWithUnpaddingDeviceOperation                               0         3 μs          1 μs     80                                                       BF16 => BF16
398    0.1 %         RepeatDeviceOperation                                              0        36 μs          1 μs    110                                                       BF16 => BF16
399    0.2 %         TilizeDeviceOperation                                              0        55 μs          1 μs     80                                                       BF16 => BF16
400    0.1 %         BinaryNgDeviceOperation                                            0        23 μs          0 μs    110                                                 BF16, BF16 => BF16
401    0.3 %         ReshapeViewDeviceOperation                                         0        80 μs          0 μs    110                                                       BF16 => BF16
402    0.8 %   SLOW  MatmulDeviceOperation 128 x 10240 x 320                            0       217 μs          0 μs     40   43 GB/s   8.3 %   3.9 TFLOPs    7.0 %  HiFi4 BF16 x BF16 => BF16
403    0.0 %         BinaryNgDeviceOperation                                            0         3 μs          1 μs    110                                                       BF16 => BF16
404    0.0 %         UnaryDeviceOperation                                               0         3 μs          1 μs    110                                                       BF16 => BF16
405    0.1 %   SLOW  MatmulDeviceOperation 128 x 320 x 10240                            0        33 μs          1 μs    107  277 GB/s  54.1 %  25.1 TFLOPs   17.0 %  HiFi4 BF16 x BF16 => BF16
406    0.1 %         UnaryDeviceOperation                                               0        19 μs          1 μs    110                                                       BF16 => BF16
407    1.1 %         ReshapeViewDeviceOperation                                         0       302 μs          1 μs    110                                                       BF16 => BF16
408    1.1 %         ReshapeViewDeviceOperation                                         0       302 μs          0 μs    110                                                       BF16 => BF16
409    0.5 %         BinaryNgDeviceOperation                                            0       143 μs          0 μs    110                                                 BF16, BF16 => BF16
410    0.4 %         FillPadDeviceOperation                                             0       112 μs          0 μs    110                                                       BF16 => BF16
411    0.4 %         ReduceDeviceOperation                                              0       107 μs          1 μs    110                                                       BF16 => BF16
412    0.4 %         BinaryNgDeviceOperation                                            0       116 μs          1 μs    110                                                       BF16 => BF16
413    0.2 %         ReshapeViewDeviceOperation                                         0        62 μs          1 μs    110                                                       BF16 => BF16
414    0.4 %   SLOW  MatmulDeviceOperation 128 x 10240 x 32                             0        99 μs          1 μs      4   33 GB/s   6.5 %   0.9 TFLOPs   15.4 %  HiFi4 BF16 x BF16 => BF16
415    0.0 %         BinaryNgDeviceOperation                                            0         3 μs          1 μs    110                                                       BF16 => BF16
416    0.0 %         UnaryDeviceOperation                                               0         3 μs          1 μs    110                                                       BF16 => BF16
417    0.0 %         BinaryNgDeviceOperation                                            0         3 μs          1 μs    110                                                       BF16 => BF16
418    0.2 %   SLOW  MatmulDeviceOperation 128 x 2560 x 512                             0        56 μs          1 μs     32   61 GB/s  11.9 %   6.0 TFLOPs   13.5 %  HiFi4 BF16 x BF16 => BF16
419    0.0 %         SoftmaxDeviceOperation                                             0         9 μs          1 μs      4                                                       BF16 => BF16
420    0.3 %         TopKDeviceOperation                                                0        76 μs          1 μs      4                                                       BF16 => BF16
421    0.0 %         SliceDeviceOperation                                               0         1 μs          1 μs      4                                                       BF16 => BF16
422    0.0 %         SliceDeviceOperation                                               0         1 μs          1 μs      4                                                   UINT16 => UINT16
423    0.0 %         FillPadDeviceOperation                                             0         7 μs          1 μs      4                                                       BF16 => BF16
424    0.0 %         ReduceDeviceOperation                                              0         2 μs          1 μs      4                                                       BF16 => BF16
425    0.0 %         BinaryNgDeviceOperation                                            0         4 μs          1 μs    110                                                 BF16, BF16 => BF16
426    0.0 %         UnaryDeviceOperation                                               0         2 μs          1 μs    110                                                       BF16 => BF16
427    0.0 %         UntilizeCodegenDeviceOperation                                     0         3 μs          1 μs     64                                                       BF16 => BF16
428    0.0 %         UntilizeWithUnpaddingDeviceOperation                               0        10 μs          1 μs      4                                                   UINT16 => UINT16
429    0.0 %         UntilizeWithUnpaddingDeviceOperation                               0        10 μs          1 μs      4                                                       BF16 => BF16
430    0.0 %         ScatterDeviceOperation                                             0        12 μs          1 μs    110                                               BF16, UINT16 => BF16
431    0.0 %         TilizeDeviceOperation                                              0         4 μs          1 μs      4                                                       BF16 => BF16
432    0.0 %         ReduceDeviceOperation                                              0         2 μs          1 μs     64                                                       BF16 => BF16
433    0.0 %         ReshapeViewDeviceOperation                                         0         4 μs          1 μs     16                                                       BF16 => BF16
434    0.0 %         UntilizeWithUnpaddingDeviceOperation                               0         9 μs          1 μs      1                                                       BF16 => BF16
435    1.6 %         UnaryDeviceOperation                                               0       440 μs          1 μs    110                                                       BF16 => BF16
436    6.8 %         SparseMatmulDeviceOperation active=?/2048 x 32 x 2560 x 640        0     1,884 μs          1 μs     20                                          HiFi4 BF16 x BF16 => BF16
437    1.8 %         PermuteDeviceOperation                                             0       510 μs          1 μs    110                                                       BF16 => BF16
438    1.6 %         UnaryDeviceOperation                                               0       436 μs          1 μs    110                                                       BF16 => BF16
439    6.8 %         SparseMatmulDeviceOperation active=?/2048 x 32 x 2560 x 640        0     1,884 μs          1 μs     20                                          HiFi4 BF16 x BF16 => BF16
440    1.8 %         PermuteDeviceOperation                                             0       496 μs          1 μs    110                                                       BF16 => BF16
441    2.3 %         UnaryDeviceOperation                                               0       642 μs          1 μs    110                                                       BF16 => BF16
442    2.0 %         BinaryNgDeviceOperation                                            0       555 μs          1 μs    110                                                 BF16, BF16 => BF16
443    0.4 %         SliceDeviceOperation                                               0       103 μs          1 μs    110                                                       BF16 => BF16
444    0.0 %         SliceDeviceOperation                                               0         1 μs          1 μs      1                                                       BF16 => BF16
445    1.6 %         UnaryDeviceOperation                                               0       438 μs          1 μs    110                                                       BF16 => BF16
446    1.8 %         SparseMatmulDeviceOperation active=?/512 x 32 x 640 x 2560         0       501 μs          1 μs     40                                          HiFi4 BF16 x BF16 => BF16
447    0.4 %         SliceDeviceOperation                                               0       104 μs          1 μs    110                                                       BF16 => BF16
448    0.0 %         SliceDeviceOperation                                               0         1 μs          1 μs      1                                                       BF16 => BF16
449    1.6 %         UnaryDeviceOperation                                               0       437 μs          1 μs    110                                                       BF16 => BF16
450    1.8 %         SparseMatmulDeviceOperation active=?/512 x 32 x 640 x 2560         0       501 μs          1 μs     40                                          HiFi4 BF16 x BF16 => BF16
451    0.4 %         SliceDeviceOperation                                               0       103 μs          1 μs    110                                                       BF16 => BF16
452    0.0 %         SliceDeviceOperation                                               0         1 μs          1 μs      1                                                       BF16 => BF16
453    1.6 %         UnaryDeviceOperation                                               0       438 μs          1 μs    110                                                       BF16 => BF16
454    1.8 %         SparseMatmulDeviceOperation active=?/512 x 32 x 640 x 2560         0       500 μs          1 μs     40                                          HiFi4 BF16 x BF16 => BF16
455    0.4 %         SliceDeviceOperation                                               0       104 μs          1 μs    110                                                       BF16 => BF16
456    0.0 %         SliceDeviceOperation                                               0         1 μs          1 μs      1                                                       BF16 => BF16
457    1.6 %         UnaryDeviceOperation                                               0       444 μs          1 μs    110                                                       BF16 => BF16
458    1.8 %         SparseMatmulDeviceOperation active=?/512 x 32 x 640 x 2560         0       499 μs          1 μs     40                                          HiFi4 BF16 x BF16 => BF16
459    6.4 %         ConcatDeviceOperation                                              0     1,758 μs          1 μs    110                                                 BF16, BF16 => BF16
460    0.3 %         PermuteDeviceOperation                                             0        72 μs          1 μs    110                                                       BF16 => BF16
461    6.8 %         BinaryNgDeviceOperation                                            0     1,873 μs          1 μs    110                                                 BF16, BF16 => BF16
462    3.2 %         FastReduceNCDeviceOperation                                        0       873 μs          1 μs    110                                                       BF16 => BF16
463    0.2 %   SLOW  MatmulDeviceOperation 128 x 2560 x 640                             0        57 μs          1 μs     40   72 GB/s  14.1 %   7.4 TFLOPs   13.4 %  HiFi4 BF16 x BF16 => BF16
464    0.0 %         UnaryDeviceOperation                                               0         3 μs          1 μs    110                                                       BF16 => BF16
465    0.2 %   SLOW  MatmulDeviceOperation 128 x 2560 x 640                             0        55 μs          1 μs     40   74 GB/s  14.4 %   7.6 TFLOPs   13.7 %  HiFi4 BF16 x BF16 => BF16
466    0.0 %         BinaryNgDeviceOperation                                            0         3 μs          1 μs    110                                                 BF16, BF16 => BF16
467    0.1 %   SLOW  MatmulDeviceOperation 128 x 640 x 2560                             0        21 μs          1 μs     80  191 GB/s  37.4 %  19.6 TFLOPs   17.7 %  HiFi4 BF16 x BF16 => BF16
468    0.1 %   SLOW  MatmulDeviceOperation 128 x 2560 x 32                              0        25 μs          1 μs      4   33 GB/s   6.4 %   0.8 TFLOPs   14.9 %  HiFi4 BF16 x BF16 => BF16
469    0.0 %         UnaryDeviceOperation                                               0         3 μs          1 μs    110                                                       BF16 => BF16
470    0.0 %         BinaryNgDeviceOperation                                            0         5 μs          1 μs    110                                                 BF16, BF16 => BF16
471    0.0 %         BinaryNgDeviceOperation                                            0         5 μs          1 μs    110                                                 BF16, BF16 => BF16
472    0.5 %         ReshapeViewDeviceOperation                                         0       132 μs          1 μs    110                                                       BF16 => BF16
473    0.0 %         ReshapeViewDeviceOperation                                         0         4 μs          0 μs    110                                                       BF16 => BF16
474    0.5 %         BinaryNgDeviceOperation                                            0       133 μs          0 μs    110                                                 BF16, BF16 => BF16
475    1.6 %         ReshapeViewDeviceOperation                                         0       429 μs          1 μs    110                                                       BF16 => BF16
476    0.1 %         BinaryNgDeviceOperation                                            0        23 μs          1 μs    110                                                 BF16, BF16 => BF16
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     100.0 %         235 device ops, 0 host ops, 0 signposts                                 27,269 μs        344 μs          10 GB/s   1.9 %
