Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'MC_HOST_PREFILL_L1'.
Using operations until 'MC_HOST_PREFILL_L1_END'.
Detected data from 2 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                                     Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %   FLOPs        FLOPs %  Math Fidelity            
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 2805    0.0 %         BinaryNgDeviceOperation                                           1        18 μs                  110                                                        FP32 => FP32
 2962    0.0 %         SliceDeviceOperation                                              0         2 μs          1 μs     40                                                        BF16 => BF16
 2963    0.0 %         SliceDeviceOperation                                              1         1 μs          1 μs      4                                                        BF16 => BF16
 2966    0.0 %         UnaryDeviceOperation                                              0         3 μs          0 μs    110                                                        BF16 => BF16
 2967    0.0 %   SLOW  MatmulDeviceOperation 128 x 320 x 10240                           1        28 μs          0 μs    107  214 GB/s   41.9 %  30.5 TFLOPs    5.2 %   LoFi BF16 x BFP8 => BF16
 2970    0.0 %         ReshapeViewDeviceOperation                                        0       302 μs          1 μs    110                                                        BF16 => BF16
 2971    0.0 %         ReshapeViewDeviceOperation                                        1       303 μs          1 μs    110                                                        BF16 => BF16
 2974    0.0 %         BinaryNgDeviceOperation                                           0       160 μs          0 μs    110                                                  BF16, BF16 => BF16
 2975    0.0 %         FillPadDeviceOperation                                            1       113 μs          1 μs    110                                                        BF16 => BF16
 2978    0.0 %         ReduceDeviceOperation                                             0       110 μs          1 μs    110                                                        BF16 => BF16
 2979    0.0 %         ReshapeViewDeviceOperation                                        1        62 μs          1 μs    110                                                        BF16 => BF16
 2981    0.0 %   SLOW  MatmulDeviceOperation 128 x 2560 x 10336                          1       107 μs          1 μs    108  302 GB/s   59.0 %  63.2 TFLOPs   21.2 %  HiFi2 BF16 x BFP8 => FP32
 2984    0.0 %         SliceDeviceOperation                                              0        29 μs          1 μs    110                                                        FP32 => FP32
 2986    0.0 %         SliceDeviceOperation                                              0         1 μs          1 μs      8                                                        FP32 => FP32
 2987    0.0 %         UntilizeDeviceOperation                                           1        48 μs          0 μs     81                                                        FP32 => FP32
 2990    0.0 %         SliceDeviceOperation                                              0         2 μs          0 μs    110                                                        FP32 => FP32
 2991    0.0 %         TilizeWithValPaddingDeviceOperation                               1         4 μs          1 μs      4                                                        FP32 => FP32
 2994    0.0 %   SLOW  MatmulDeviceOperation 128 x 2560 x 6144                           0        79 μs          0 μs     96  227 GB/s   44.4 %  50.9 TFLOPs   19.2 %  HiFi2 BF16 x BFP8 => BF16
 2996    0.0 %         UnaryDeviceOperation                                              0         3 μs          1 μs    110                                                        FP32 => FP32
 2998    0.0 %         UnaryDeviceOperation                                              0         5 μs          1 μs    110                                                        FP32 => FP32
 3000    0.0 %         BinaryNgDeviceOperation                                           0        13 μs          1 μs    110                                                  FP32, FP32 => FP32
 3001    0.0 %         UntilizeWithUnpaddingDeviceOperation                              1         6 μs          1 μs    107                                                        FP32 => FP32
 3003    0.0 %         UntilizeWithUnpaddingDeviceOperation                              1        48 μs          1 μs     80                                                        FP32 => FP32
 3005    0.0 %         ConcatDeviceOperation                                             1        30 μs          1 μs    110                                                  FP32, FP32 => FP32
 3008    0.0 %         TilizeWithValPaddingDeviceOperation                               0        71 μs          1 μs     64                                                        FP32 => FP32
 3009    0.0 %         UntilizeWithUnpaddingDeviceOperation                              1        46 μs          1 μs     64                                                        FP32 => FP32
 3011    0.0 %         SliceDeviceOperation                                              1         3 μs          1 μs      3                                                        FP32 => FP32
 3014    0.0 %         TilizeWithValPaddingDeviceOperation                               0        13 μs          0 μs    107                                                        FP32 => FP32
 3015    0.0 %         TypecastDeviceOperation                                           1        22 μs          1 μs    110                                                        FP32 => BF16
 3018    0.0 %         TypecastDeviceOperation                                           0         5 μs          0 μs    110                                                        FP32 => BF16
 3019    0.0 %         CloneOperation                                                    1         7 μs          1 μs    110                                                        FP32 => FP32
 3021    0.0 %         UntilizeDeviceOperation                                           1        40 μs          1 μs     80                                                        BF16 => BF16
 3023    0.0 %         UntilizeWithUnpaddingDeviceOperation                              1         4 μs          1 μs    107                                                        BF16 => BF16
 3025    0.0 %         QkvCausalConv1dSiluOperation                                      1        85 μs          1 μs     64                                                  BF16, BF16 => BF16
 3027    0.0 %         BinaryNgDeviceOperation                                           1         4 μs          7 μs    110                                                      INT32 => INT32
 3029    0.0 %         ReshapeViewDeviceOperation                                        1        20 μs          2 μs    110                                                      INT32 => INT32
 3032    0.0 %         TypecastDeviceOperation                                           0         2 μs          1 μs    110                                                       INT32 => FP32
 3034    0.0 %         TilizeWithValPaddingDeviceOperation                               0         5 μs          1 μs      4                                                        FP32 => FP32
 3036    0.0 %         BinaryNgDeviceOperation                                           0         7 μs          1 μs    110                                                  FP32, FP32 => FP32
 3038    0.0 %         TypecastDeviceOperation                                           0         2 μs          1 μs    110                                                       INT32 => FP32
 3040    0.0 %         TilizeWithValPaddingDeviceOperation                               0         5 μs          1 μs      4                                                        FP32 => FP32
 3042    0.0 %         BinaryNgDeviceOperation                                           0         7 μs          1 μs    110                                                  FP32, FP32 => FP32
 3043    0.0 %         TransposeDeviceOperation                                          1         2 μs          1 μs      8                                                        FP32 => FP32
 3046    0.0 %         TransposeDeviceOperation                                          0         2 μs          1 μs      8                                                        FP32 => FP32
 3048    0.0 %         ReshapeViewDeviceOperation                                        0        11 μs          1 μs    110                                                        FP32 => FP32
 3050    0.0 %         ReshapeViewDeviceOperation                                        0        10 μs          1 μs    110                                                        FP32 => FP32
 3052    0.0 %         ChunkGdnPrepOperation                                             0       123 μs         50 μs    110                                                  BF16, BF16 => FP32
 3053    0.0 %         ChunkGdnScanOperation                                             1        99 μs         42 μs     96                                                  FP32, FP32 => FP32
 3055    0.0 %         UntilizeDeviceOperation                                           1        24 μs          0 μs     96                                                        FP32 => FP32
 3058    0.0 %         PermuteDeviceOperation                                            0        27 μs          0 μs    110                                                        FP32 => FP32
 3059    0.0 %         TilizeWithValPaddingDeviceOperation                               1        26 μs          1 μs     86                                                        FP32 => FP32
 3061    0.0 %         LayerNormDeviceOperation                                          1        28 μs          0 μs    110                                                  FP32, BF16 => FP32
 3063    0.0 %         ReshapeViewDeviceOperation                                        1       177 μs          1 μs    110                                                        BF16 => BF16
 3066    0.0 %         UnaryDeviceOperation                                              0        11 μs          0 μs    110                                                        BF16 => BF16
 3067    0.0 %         BinaryNgDeviceOperation                                           1        26 μs          1 μs    110                                                  FP32, BF16 => FP32
 3070    0.0 %         ReshapeViewDeviceOperation                                        0       369 μs          1 μs    110                                                        FP32 => FP32
 3072    0.0 %   SLOW  MatmulDeviceOperation 128 x 6144 x 2560                           0        85 μs          1 μs     40  221 GB/s   43.2 %  47.1 TFLOPs   42.6 %  HiFi2 FP32 x BFP8 => BF16
 3074    0.0 %         ReshapeViewDeviceOperation                                        0       108 μs          1 μs    110                                                        BF16 => BF16
 3076    0.0 %         ReshapeViewDeviceOperation                                        0         4 μs          0 μs    110                                                        BF16 => BF16
 3078    0.0 %         BinaryNgDeviceOperation                                           0        85 μs          0 μs    110                                                  BF16, BF16 => BF16
 3080    0.0 %         ReshapeViewDeviceOperation                                        0       184 μs          1 μs    110                                                        BF16 => BF16
 3081    0.0 %         TernaryDeviceOperation                                            1        11 μs          1 μs    110                                                  BF16, BF16 => BF16
 3084    0.0 %         ReshapeViewDeviceOperation                                        0        64 μs          0 μs    110                                                        BF16 => BF16
 3085    0.0 %         LayerNormDeviceOperation                                          1        24 μs          0 μs     16                                                        BF16 => BF16
 3087    0.0 %         ReshapeViewDeviceOperation                                        1         4 μs          1 μs     80                                                        BF16 => BF16
 3089    0.0 %         UntilizeWithUnpaddingDeviceOperation                              1         3 μs          1 μs     80                                                        BF16 => BF16
 3092    0.0 %         RepeatDeviceOperation                                             0        36 μs          1 μs    110                                                        BF16 => BF16
 3094    0.0 %         TilizeDeviceOperation                                             0        54 μs          1 μs     80                                                        BF16 => BF16
 3095    0.0 %         BinaryNgDeviceOperation                                           1        13 μs          0 μs    110                                                  BF16, BF16 => BF16
 3097    0.0 %         ReshapeViewDeviceOperation                                        1        64 μs          0 μs    110                                                        BF16 => BF16
 3099    0.0 %   SLOW  MatmulDeviceOperation 128 x 10240 x 352                           1        41 μs          1 μs     44   89 GB/s   17.3 %  22.7 TFLOPs    9.3 %   LoFi BF16 x BFP8 => BF16
 3101    0.0 %         SliceDeviceOperation                                              1         2 μs          1 μs     40                                                        BF16 => BF16
 3104    0.0 %         SliceDeviceOperation                                              0         1 μs          1 μs      4                                                        BF16 => BF16
 3106    0.0 %         UnaryDeviceOperation                                              0         3 μs          0 μs    110                                                        BF16 => BF16
 3107    0.0 %   SLOW  MatmulDeviceOperation 128 x 320 x 10240                           1        27 μs          0 μs    107  216 GB/s   42.1 %  30.7 TFLOPs    5.2 %   LoFi BF16 x BFP8 => BF16
 3109    0.0 %         ReshapeViewDeviceOperation                                        1       243 μs          1 μs    110                                                        BF16 => BF16
 3112    0.0 %         ReshapeViewDeviceOperation                                        0       304 μs          0 μs    110                                                        BF16 => BF16
 3114    0.0 %         BinaryNgDeviceOperation                                           0       160 μs          0 μs    110                                                  BF16, BF16 => BF16
 3115    0.0 %         FillPadDeviceOperation                                            1        36 μs          1 μs    110                                                        BF16 => BF16
 3117    0.0 %         ReduceDeviceOperation                                             1        33 μs          1 μs    110                                                        BF16 => BF16
 3119    0.0 %         ReshapeViewDeviceOperation                                        1        47 μs          1 μs    110                                                        BF16 => BF16
 3122    0.0 %   SLOW  MatmulDeviceOperation 128 x 2560 x 1184                           0        52 μs          1 μs     37   64 GB/s   12.6 %  15.0 TFLOPs    7.3 %   LoFi BF16 x BFP8 => BF16
 3123    0.0 %         SliceDeviceOperation                                              1         2 μs          1 μs     64                                                        BF16 => BF16
 3126    0.0 %         SliceDeviceOperation                                              0         2 μs          1 μs     40                                                        BF16 => BF16
 3127    0.0 %         SliceDeviceOperation                                              1         2 μs          1 μs     40                                                        BF16 => BF16
 3129    0.0 %         SliceDeviceOperation                                              1         1 μs          1 μs      4                                                        BF16 => BF16
 3131    0.0 %         UnaryDeviceOperation                                              1         2 μs          0 μs    110                                                        BF16 => BF16
 3134    0.0 %         TopKDeviceOperation                                               0        76 μs          1 μs      4                                                        BF16 => BF16
 3136    0.0 %         SliceDeviceOperation                                              0         2 μs          1 μs      4                                                        BF16 => BF16
 3138    0.0 %         SliceDeviceOperation                                              0         2 μs          1 μs      4                                                    UINT16 => UINT16
 3140    0.0 %         SoftmaxDeviceOperation                                            0         6 μs          1 μs      4                                                        BF16 => BF16
 3141    0.0 %         UntilizeWithUnpaddingDeviceOperation                              1        10 μs          1 μs      4                                                    UINT16 => UINT16
 3144    0.0 %         UntilizeCodegenDeviceOperation                                    0         3 μs          1 μs     64                                                        BF16 => BF16
 3145    0.0 %         UntilizeWithUnpaddingDeviceOperation                              1        10 μs          1 μs      4                                                    UINT16 => UINT16
 3147    0.0 %         UntilizeWithUnpaddingDeviceOperation                              1        10 μs          1 μs      4                                                        BF16 => BF16
 3150    0.0 %         ScatterDeviceOperation                                            0        13 μs          1 μs    110                                                BF16, UINT16 => BF16
 3151    0.0 %         TilizeDeviceOperation                                             1         4 μs          1 μs      4                                                        BF16 => BF16
 3153    0.8 %         CopyDeviceOperation                                               1         7 μs      8,647 μs    110                                                  BFP4, BFP4 => BFP4
 3156    0.0 %         CopyDeviceOperation                                               0         6 μs          1 μs    110                                                  BFP4, BFP4 => BFP4
 3159    0.9 %         CopyDeviceOperation                                               0         7 μs      8,980 μs    110                                                  BFP4, BFP4 => BFP4
 3160    0.0 %         CopyDeviceOperation                                               0         5 μs          1 μs    110                                                  BFP4, BFP4 => BFP4
 3161    0.8 %         CopyDeviceOperation                                               1         7 μs      8,607 μs    110                                                  BFP4, BFP4 => BFP4
 3164    0.0 %         CopyDeviceOperation                                               0         5 μs          0 μs    110                                                  BFP4, BFP4 => BFP4
 3167    0.8 %         CopyDeviceOperation                                               0         7 μs      7,772 μs    110                                                  BFP4, BFP4 => BFP4
 3168    0.0 %         CopyDeviceOperation                                               0         5 μs          1 μs    110                                                  BFP4, BFP4 => BFP4
 3171    0.8 %         CopyDeviceOperation                                               0         7 μs      8,396 μs    110                                                  BFP4, BFP4 => BFP4
 3172    0.0 %         CopyDeviceOperation                                               0         5 μs          1 μs    110                                                  BFP4, BFP4 => BFP4
 3173    0.8 %         CopyDeviceOperation                                               1         7 μs      8,368 μs    110                                                  BFP4, BFP4 => BFP4
 3176    0.0 %         CopyDeviceOperation                                               0         5 μs          1 μs    110                                                  BFP4, BFP4 => BFP4
 3179    0.8 %         CopyDeviceOperation                                               0         7 μs      8,353 μs    110                                                  BFP4, BFP4 => BFP4
 3180    0.0 %         CopyDeviceOperation                                               0         5 μs          0 μs    110                                                  BFP4, BFP4 => BFP4
 3183    0.8 %         CopyDeviceOperation                                               0         7 μs      7,878 μs    110                                                  BFP4, BFP4 => BFP4
 3184    0.0 %         CopyDeviceOperation                                               0         5 μs          0 μs    110                                                  BFP4, BFP4 => BFP4
 3185    0.8 %         CopyDeviceOperation                                               1         7 μs      7,925 μs    110                                                  BFP4, BFP4 => BFP4
 3188    0.0 %         CopyDeviceOperation                                               0         5 μs          0 μs    110                                                  BFP4, BFP4 => BFP4
 3191    0.8 %         CopyDeviceOperation                                               0         7 μs      8,563 μs    110                                                  BFP4, BFP4 => BFP4
 3192    0.0 %         CopyDeviceOperation                                               0         5 μs          1 μs    110                                                  BFP4, BFP4 => BFP4
 3193    0.0 %         ConcatDeviceOperation                                             1        66 μs        372 μs    110                                                  BFP4, BFP4 => BFP4
 3195    0.0 %         ConcatDeviceOperation                                             1        34 μs          0 μs    110                                                  BFP4, BFP4 => BFP4
 3198    0.0 %         FillPadDeviceOperation                                            0         6 μs        160 μs      4                                                    UINT32 => UINT32
 3200    0.0 %         GatherDeviceOperation                                             0        34 μs         35 μs      4                                                BF16, UINT32 => BF16
 3202    0.0 %         FillPadDeviceOperation                                            0         7 μs         15 μs      4                                                        BF16 => BF16
 3204    0.0 %         ReduceDeviceOperation                                             0         2 μs         25 μs      4                                                        BF16 => BF16
 3206    0.0 %         ReshapeViewDeviceOperation                                        0         3 μs         31 μs      1                                                        BF16 => BF16
 3208    0.0 %         UntilizeWithUnpaddingDeviceOperation                              0         2 μs         35 μs      1                                                        BF16 => BF16
 3210    0.0 %         UnaryDeviceOperation                                              0         9 μs         84 μs    110                                                        BF16 => BF16
 3211    0.0 %   SLOW  SparseMatmulDeviceOperation active=40/40 x 32 x 2560 x 640        1       116 μs         21 μs     20  297 GB/s   57.9 %  36.1 TFLOPs   32.7 %   LoFi BF16 x BFP4 => BF16
 3213    0.0 %         SliceDeviceOperation                                              1         6 μs          1 μs    110                                                        BF16 => BF16
 3216    0.0 %         SliceDeviceOperation                                              0         5 μs          1 μs    110                                                        BF16 => BF16
 3218    0.0 %         BinaryNgDeviceOperation                                           0        12 μs         58 μs    110                                                  BF16, BF16 => BF16
 3219    0.0 %         PermuteDeviceOperation                                            1         4 μs         26 μs    110                                                        BF16 => BF16
 3221    0.0 %         BinaryNgDeviceOperation                                           1         7 μs         55 μs    110                                                  BF16, BF16 => BF16
 3223    0.0 %         UnaryDeviceOperation                                              1        36 μs         41 μs    110                                                        BF16 => BF16
 3226    0.0 %   DRAM  SparseMatmulDeviceOperation active=40/40 x 32 x 320 x 2560        0        59 μs          1 μs     40  405 GB/s   79.1 %  35.7 TFLOPs   16.2 %   LoFi BF16 x BFP4 => BF16
 3227    0.0 %         FastReduceNCDeviceOperation                                       1        19 μs          1 μs    110                                                        BF16 => BF16
 3231    0.8 %         CopyDeviceOperation                                               0         7 μs      8,326 μs    110                                                  BFP4, BFP4 => BFP4
 3232    0.0 %         CopyDeviceOperation                                               0         5 μs          0 μs    110                                                  BFP4, BFP4 => BFP4
 3233    0.8 %         CopyDeviceOperation                                               1         7 μs      8,184 μs    110                                                  BFP4, BFP4 => BFP4
 3236    0.0 %         CopyDeviceOperation                                               0         5 μs          1 μs    110                                                  BFP4, BFP4 => BFP4
 3239    0.8 %         CopyDeviceOperation                                               0         7 μs      8,324 μs    110                                                  BFP4, BFP4 => BFP4
 3240    0.0 %         CopyDeviceOperation                                               0         5 μs          0 μs    110                                                  BFP4, BFP4 => BFP4
 3243    0.8 %         CopyDeviceOperation                                               0         7 μs      8,182 μs    110                                                  BFP4, BFP4 => BFP4
 3244    0.0 %         CopyDeviceOperation                                               0         5 μs          0 μs    110                                                  BFP4, BFP4 => BFP4
 3247    0.8 %         CopyDeviceOperation                                               0         7 μs      8,331 μs    110                                                  BFP4, BFP4 => BFP4
 3248    0.0 %         CopyDeviceOperation                                               0         5 μs          1 μs    110                                                  BFP4, BFP4 => BFP4
 3249    0.8 %         CopyDeviceOperation                                               1         7 μs      8,329 μs    110                                                  BFP4, BFP4 => BFP4
 3252    0.0 %         CopyDeviceOperation                                               0         5 μs          1 μs    110                                                  BFP4, BFP4 => BFP4
 3253    0.7 %         CopyDeviceOperation                                               1         7 μs      7,439 μs    110                                                  BFP4, BFP4 => BFP4
 3256    0.0 %         CopyDeviceOperation                                               0         5 μs          1 μs    110                                                  BFP4, BFP4 => BFP4
 3259    0.8 %         CopyDeviceOperation                                               0         7 μs      8,237 μs    110                                                  BFP4, BFP4 => BFP4
 3260    0.0 %         CopyDeviceOperation                                               0         5 μs          1 μs    110                                                  BFP4, BFP4 => BFP4
 3263    0.8 %         CopyDeviceOperation                                               0         7 μs      7,984 μs    110                                                  BFP4, BFP4 => BFP4
 3264    0.0 %         CopyDeviceOperation                                               0         5 μs          0 μs    110                                                  BFP4, BFP4 => BFP4
 3265    0.8 %         CopyDeviceOperation                                               1         7 μs      8,612 μs    110                                                  BFP4, BFP4 => BFP4
