Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'MC_HOST_DECODE_L1'.
Using operations until 'MC_HOST_DECODE_L1_END'.
Detected data from 2 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                                     Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity            
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 6843    0.0 %         CopyDeviceOperation                                               1         3 μs                  110                                                 BF16, BF16 => BF16
 7006    0.0 %         FillPadDeviceOperation                                            1         5 μs          1 μs     80                                                       BF16 => BF16
 7007    0.0 %         ReduceDeviceOperation                                             1         2 μs          1 μs     80                                                       BF16 => BF16
 7008    0.0 %         FillPadDeviceOperation                                            1         5 μs          1 μs     80                                                       BF16 => BF16
 7009    0.0 %   SLOW  MatmulDeviceOperation 32 x 2560 x 1184                            1        14 μs          0 μs     37  218 GB/s  42.5 %  13.9 TFLOPs    6.8 %   LoFi BF16 x BFP8 => BF16
 7013    0.0 %         SliceDeviceOperation                                              1         1 μs          1 μs      1                                                       BF16 => BF16
 7014    0.2 %         TopKDeviceOperation                                               1        75 μs          2 μs      1                                                       BF16 => BF16
 7017    0.0 %         SoftmaxDeviceOperation                                            1         5 μs          1 μs      1                                                       BF16 => BF16
 7020    0.0 %         SliceDeviceOperation                                              1         0 μs          1 μs      1                                                       BF16 => BF16
 7026    0.0 %         CopyDeviceOperation                                               0         3 μs          3 μs    110                                                 BF16, BF16 => BF16
 7028    0.0 %         CopyDeviceOperation                                               0         2 μs          3 μs    110                                                 BF16, BF16 => BF16
 7032    0.0 %         CopyDeviceOperation                                               0         3 μs          3 μs    110                                                 BF16, BF16 => BF16
 7035    0.0 %         SliceDeviceOperation                                              0         2 μs          1 μs    110                                                       BF16 => BF16
 7036    0.0 %         SliceDeviceOperation                                              0         2 μs          0 μs     80                                                       BF16 => BF16
 7037    0.0 %         ReshapeViewDeviceOperation                                        0         4 μs          1 μs     80                                                       BF16 => BF16
 7038    0.1 %         LayerNormDeviceOperation                                          0        21 μs          1 μs      1                                                       BF16 => BF16
 7040    0.0 %         BinaryNgDeviceOperation                                           0         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 7041    0.0 %         ReshapeViewDeviceOperation                                        0         4 μs          1 μs    110                                                       BF16 => BF16
 7042    0.0 %         ReshapeViewDeviceOperation                                        0         4 μs          1 μs     80                                                       BF16 => BF16
 7044    0.0 %         ReshapeViewDeviceOperation                                        0         4 μs          1 μs     80                                                       BF16 => BF16
 7046    0.0 %         ReshapeViewDeviceOperation                                        0         6 μs          1 μs    110                                                       BF16 => BF16
 7050    0.0 %         FillPadDeviceOperation                                            0         5 μs          1 μs     80                                                       BF16 => BF16
 7052    0.0 %         UnaryDeviceOperation                                              0         2 μs          1 μs    110                                                       BF16 => BF16
 7053    0.0 %         UnaryDeviceOperation                                              0         2 μs          1 μs    110                                                       BF16 => BF16
 7055    0.0 %         UnaryDeviceOperation                                              0         2 μs          1 μs    110                                                       BF16 => BF16
 7059    0.0 %         ReshapeViewDeviceOperation                                        0         4 μs          1 μs     80                                                       BF16 => BF16
 7060    0.1 %         LayerNormDeviceOperation                                          0        21 μs          1 μs      1                                                       BF16 => BF16
 7063    0.0 %         ReshapeViewDeviceOperation                                        0         4 μs          1 μs    110                                                       BF16 => BF16
 7065    0.0 %         TernaryDeviceOperation                                            0         4 μs          0 μs    110                                                 BF16, BF16 => BF16
 7066    0.0 %         TernaryDeviceOperation                                            0         4 μs          1 μs    110                                                 BF16, BF16 => BF16
 7070    0.0 %         CopyDeviceOperation                                               0         2 μs          1 μs    110                                                 BF16, BF16 => BF16
 7073    0.0 %         CopyDeviceOperation                                               0         2 μs          1 μs    110                                                 BF16, BF16 => BF16
 7074    0.0 %         CopyDeviceOperation                                               0         2 μs          1 μs    110                                                 BF16, BF16 => BF16
 7077    0.0 %         BinaryNgDeviceOperation                                           0         6 μs          4 μs    110                                                 BF16, BF16 => BF16
 7078    0.0 %         CopyDeviceOperation                                               0         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 7079    0.0 %         CopyDeviceOperation                                               0         3 μs          2 μs    110                                                 BF16, BF16 => BF16
 7081    0.0 %         CopyDeviceOperation                                               0         3 μs          3 μs    110                                                 BF16, BF16 => BF16
 7082    0.0 %         CopyDeviceOperation                                               0         3 μs          3 μs    110                                                 BF16, BF16 => BF16
 7083    0.0 %         CopyDeviceOperation                                               0         3 μs          3 μs    110                                                 BF16, BF16 => BF16
 7084    0.0 %         CopyDeviceOperation                                               0         3 μs          3 μs    110                                                 BF16, BF16 => BF16
 7085    0.0 %         CopyDeviceOperation                                               0         3 μs          3 μs    110                                                 BF16, BF16 => BF16
 7087    0.0 %         BinaryNgDeviceOperation                                           0         4 μs          3 μs    110                                                 BF16, BF16 => BF16
 7089    0.1 %         LayerNormDeviceOperation                                          0        24 μs          1 μs      1                                                       BF16 => BF16
 7090    0.0 %         ReshapeViewDeviceOperation                                        0         4 μs          1 μs     80                                                       BF16 => BF16
 7091    0.0 %         BinaryNgDeviceOperation                                           0         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 7092    0.0 %         ReshapeViewDeviceOperation                                        0         5 μs          1 μs    110                                                       BF16 => BF16
 7094    0.1 %   SLOW  MatmulDeviceOperation 32 x 10240 x 352                            0        40 μs          1 μs      6   89 GB/s  17.4 %   5.7 TFLOPs   17.2 %   LoFi BF16 x BFP8 => BF16
 7097    0.0 %         UnaryDeviceOperation                                              0         3 μs          1 μs    110                                                       BF16 => BF16
 7100    0.0 %         ReshapeViewDeviceOperation                                        0         4 μs          1 μs     80                                                       BF16 => BF16
 7102    0.0 %         FillPadDeviceOperation                                            0         5 μs          1 μs     80                                                       BF16 => BF16
 7103    0.0 %         ReduceDeviceOperation                                             0         2 μs          1 μs     80                                                       BF16 => BF16
 7109    0.0 %         SliceDeviceOperation                                              0         7 μs          1 μs    110                                                       FP32 => FP32
 7110    0.0 %         SliceDeviceOperation                                              0         1 μs          1 μs      2                                                       FP32 => FP32
 7112    0.0 %         SliceDeviceOperation                                              0         1 μs          1 μs      1                                                       FP32 => FP32
 7114    0.0 %         CopyDeviceOperation                                               0         2 μs          1 μs     80                                                       BF16 => BF16
 7116    0.0 %         UnaryDeviceOperation                                              0         2 μs          1 μs    110                                                       FP32 => FP32
 7117    0.0 %         UnaryDeviceOperation                                              0         5 μs          1 μs    110                                                       FP32 => FP32
 7118    0.0 %         BinaryNgDeviceOperation                                           0         3 μs          1 μs    110                                                 FP32, FP32 => FP32
 7120    0.0 %         TernaryDeviceOperation                                            0         8 μs          0 μs    110                                                 FP32, FP32 => FP32
 7121    0.0 %         TernaryDeviceOperation                                            0         8 μs          0 μs    110                                                 FP32, FP32 => FP32
 7124    0.0 %         CopyDeviceOperation                                               0         3 μs          1 μs    110                                                 FP32, FP32 => FP32
 7126    0.0 %         UnaryDeviceOperation                                              0         8 μs          1 μs    110                                                       FP32 => FP32
 7129    0.0 %         SliceDeviceOperation                                              0         5 μs          0 μs    110                                                       FP32 => FP32
 7137    0.0 %         ConcatDeviceOperation                                             0         2 μs          1 μs     48                                                 FP32, FP32 => FP32
 7141    0.0 %         LayerNormDeviceOperation                                          0         4 μs          1 μs      2                                                 FP32, FP32 => FP32
 7142    0.0 %         ReshapeViewDeviceOperation                                        0         4 μs          1 μs    110                                                       FP32 => FP32
 7146    0.0 %         BinaryNgDeviceOperation                                           0        12 μs          0 μs    110                                                 FP32, FP32 => FP32
 7147    0.0 %         MatmulDeviceOperation b={48} x 32 x 128 x 128                     0         6 μs          0 μs     48                     8.2 TFLOPs    6.1 %  HiFi2 FP32 x FP32 => FP32
 7149    0.0 %         BinaryNgDeviceOperation                                           0         2 μs          0 μs    110                                                 FP32, FP32 => FP32
 7151    0.0 %         ReshapeViewDeviceOperation                                        0         5 μs          0 μs    110                                                       FP32 => FP32
 7152    0.0 %         MatmulDeviceOperation b={48} x 128 x 32 x 128                     0        13 μs          1 μs    110                     3.8 TFLOPs    1.2 %  HiFi2 FP32 x FP32 => FP32
 7153    0.0 %         TernaryDeviceOperation                                            0        14 μs          1 μs    110                                                 FP32, FP32 => FP32
 7155    0.0 %         ReshapeViewDeviceOperation                                        0        16 μs          1 μs      8                                                       FP32 => FP32
 7158    0.0 %         ReshapeViewDeviceOperation                                        0        16 μs          1 μs      8                                                       BF16 => BF16
 7159    0.0 %         UnaryDeviceOperation                                              0         3 μs          1 μs    110                                                       BF16 => BF16
 7160    0.0 %         BinaryNgDeviceOperation                                           0         2 μs          1 μs    110                                                 FP32, BF16 => FP32
 7161    0.0 %         ReshapeViewDeviceOperation                                        0         4 μs          1 μs    110                                                       FP32 => FP32
 7165    0.0 %         CopyDeviceOperation                                               0         3 μs          0 μs    110                                                 FP32, FP32 => FP32
 7169    0.0 %         CopyDeviceOperation                                               0         5 μs          1 μs    110                                                 FP32, FP32 => FP32
 7175    0.1 %         LayerNormDeviceOperation                                          0        21 μs          1 μs      1                                                       BF16 => BF16
 7177    0.0 %         BinaryNgDeviceOperation                                           0         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 7179    0.1 %   SLOW  MatmulDeviceOperation 32 x 10240 x 352                            0        40 μs          1 μs      6   89 GB/s  17.5 %   5.7 TFLOPs   17.2 %   LoFi BF16 x BFP8 => BF16
 7181    0.0 %         SliceDeviceOperation                                              0         1 μs          1 μs      1                                                       BF16 => BF16
 7182    0.0 %         UnaryDeviceOperation                                              0         3 μs          1 μs    110                                                       BF16 => BF16
 7184    0.0 %         ReshapeViewDeviceOperation                                        0         4 μs          1 μs     80                                                       BF16 => BF16
 7191    0.0 %         SliceDeviceOperation                                              0         2 μs          1 μs     16                                                       BF16 => BF16
 7192    0.0 %         SliceDeviceOperation                                              0         1 μs          1 μs     10                                                       BF16 => BF16
 7193    0.0 %         SliceDeviceOperation                                              0         1 μs          1 μs     10                                                       BF16 => BF16
 7196    0.0 %         SliceDeviceOperation                                              0         1 μs          2 μs      1                                                       BF16 => BF16
 7197    0.0 %         SliceDeviceOperation                                              0         0 μs          1 μs      1                                                   UINT16 => UINT16
 7199    0.0 %         SliceDeviceOperation                                              0         0 μs          1 μs      1                                                   UINT16 => UINT16
 7200    0.0 %         UntilizeWithUnpaddingDeviceOperation                              0         1 μs          1 μs      1                                                   UINT16 => UINT16
 7202    0.0 %         BinaryNgDeviceOperation                                           0         4 μs          1 μs    110                                                 BF16, BF16 => BF16
 7203    0.0 %         BinaryNgDeviceOperation                                           0         4 μs          1 μs    110                                                 BF16, BF16 => BF16
 7204    0.0 %   SLOW  MatmulDeviceOperation 32 x 320 x 2560                             0         5 μs          1 μs     40  172 GB/s  33.6 %  11.0 TFLOPs    5.0 %   LoFi BF16 x BFP8 => BF16
 7205    1.3 %         CopyDeviceOperation                                               1         7 μs        548 μs    110                                                 BFP4, BFP4 => BFP4
 7208    0.0 %         CopyDeviceOperation                                               0         5 μs          0 μs    110                                                 BFP4, BFP4 => BFP4
 7209    1.3 %         CopyDeviceOperation                                               1         7 μs        544 μs    110                                                 BFP4, BFP4 => BFP4
 7212    0.0 %         CopyDeviceOperation                                               0         5 μs          1 μs    110                                                 BFP4, BFP4 => BFP4
 7213    1.2 %         CopyDeviceOperation                                               1         7 μs        499 μs    110                                                 BFP4, BFP4 => BFP4
 7214    0.0 %         CopyDeviceOperation                                               1         6 μs          0 μs    110                                                 BFP4, BFP4 => BFP4
 7217    1.1 %         CopyDeviceOperation                                               1         7 μs        437 μs    110                                                 BFP4, BFP4 => BFP4
 7220    0.0 %         CopyDeviceOperation                                               0         5 μs          1 μs    110                                                 BFP4, BFP4 => BFP4
 7223    1.1 %         CopyDeviceOperation                                               0         7 μs        440 μs    110                                                 BFP4, BFP4 => BFP4
 7224    0.0 %         CopyDeviceOperation                                               0         5 μs          1 μs    110                                                 BFP4, BFP4 => BFP4
 7225    1.1 %         CopyDeviceOperation                                               1         7 μs        448 μs    110                                                 BFP4, BFP4 => BFP4
 7226    0.0 %         CopyDeviceOperation                                               1         5 μs          1 μs    110                                                 BFP4, BFP4 => BFP4
 7229    1.2 %         CopyDeviceOperation                                               1         7 μs        505 μs    110                                                 BFP4, BFP4 => BFP4
 7232    0.0 %         CopyDeviceOperation                                               0         5 μs          0 μs    110                                                 BFP4, BFP4 => BFP4
 7235   24.6 %         CopyDeviceOperation                                               0         7 μs     10,202 μs    110                                                 BFP4, BFP4 => BFP4
 7236    0.0 %         CopyDeviceOperation                                               0         5 μs          1 μs    110                                                 BFP4, BFP4 => BFP4
 7237   62.2 %         CopyDeviceOperation                                               1         7 μs     25,794 μs    110                                                 BFP4, BFP4 => BFP4
 7240    0.0 %         CopyDeviceOperation                                               0         6 μs          0 μs    110                                                 BFP4, BFP4 => BFP4
 7242    0.1 %         ConcatDeviceOperation                                             1        34 μs          0 μs    110                                                 BFP4, BFP4 => BFP4
 7244    0.0 %         UnaryDeviceOperation                                              1         2 μs          1 μs    110                                                 BF16, BF16 => BF16
 7245    0.2 %   SLOW  SparseMatmulDeviceOperation active=10/10 x 32 x 2560 x 640        1        79 μs          1 μs     20  104 GB/s  20.3 %  13.3 TFLOPs   12.1 %   LoFi BF16 x BFP4 => BF16
 7246    0.0 %         SliceDeviceOperation                                              1         2 μs          1 μs    100                                                       BF16 => BF16
 7247    0.0 %         SliceDeviceOperation                                              1         2 μs          1 μs    100                                                       BF16 => BF16
 7249    0.0 %         PermuteDeviceOperation                                            1         4 μs          1 μs     10                                                       BF16 => BF16
 7251    0.0 %         UnaryDeviceOperation                                              1         4 μs          1 μs    110                                                 BF16, BF16 => BF16
 7257    0.0 %         SliceDeviceOperation                                              1         2 μs          1 μs     80                                                       BF16 => BF16
 7258    0.0 %         ReshapeViewDeviceOperation                                        1         1 μs          2 μs      1                                                       BF16 => BF16
 7259    0.0 %         BinaryNgDeviceOperation                                           1         9 μs          1 μs    110                                                 BF16, BF16 => BF16
 7260    0.0 %         ReshapeViewDeviceOperation                                        1         5 μs          0 μs    110                                                       BF16 => BF16
 7261    0.0 %         TernaryDeviceOperation                                            1         4 μs          1 μs    110                                                 BF16, BF16 => BF16
 7262    0.4 %         ConcatDeviceOperation                                             0        66 μs         91 μs    110                                                 BFP4, BFP4 => BFP4
 7264    0.0 %         UntilizeWithUnpaddingDeviceOperation                              0         1 μs          1 μs      1                                                       BF16 => BF16
 7269    0.0 %         BinaryNgDeviceOperation                                           0         4 μs          0 μs    110                                                 BF16, BF16 => BF16
 7271    0.0 %         BinaryNgDeviceOperation                                           0         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 7273    0.1 %   SLOW  SparseMatmulDeviceOperation active=10/10 x 32 x 320 x 2560        0        28 μs          1 μs     40  144 GB/s  28.2 %  18.5 TFLOPs    8.3 %   LoFi BF16 x BFP4 => BF16
 7274    0.0 %         FastReduceNCDeviceOperation                                       0         3 μs          1 μs     80                                                       BF16 => BF16
 7275    0.0 %         BinaryNgDeviceOperation                                           0         2 μs          1 μs    110                                                 BF16, BF16 => BF16
 7276    0.0 %         ReduceScatterDeviceOperation                                      0        12 μs          1 μs      5                                                       BF16 => BF16
 7277    0.0 %         AllGatherDeviceOperation                                          0         9 μs          1 μs      2                                                       BF16 => BF16
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       100.0 %         220 device ops, 0 host ops, 0 signposts                                 1,795 μs     39,687 μs          84 GB/s  16.3 %                                                 

💡 Advice 💡
============

High Op-to-Op Gap
----------------
 7205    1.3 %         CopyDeviceOperation                                               1         7 μs        548 μs    110                                                 BFP4, BFP4 => BFP4
 7209    1.3 %         CopyDeviceOperation                                               1         7 μs        544 μs    110                                                 BFP4, BFP4 => BFP4
 7213    1.2 %         CopyDeviceOperation                                               1         7 μs        499 μs    110                                                 BFP4, BFP4 => BFP4
 7217    1.1 %         CopyDeviceOperation                                               1         7 μs        437 μs    110                                                 BFP4, BFP4 => BFP4
 7223    1.1 %         CopyDeviceOperation                                               0         7 μs        440 μs    110                                                 BFP4, BFP4 => BFP4
 7225    1.1 %         CopyDeviceOperation                                               1         7 μs        448 μs    110                                                 BFP4, BFP4 => BFP4
 7229    1.2 %         CopyDeviceOperation                                               1         7 μs        505 μs    110                                                 BFP4, BFP4 => BFP4
 7235   24.6 %         CopyDeviceOperation                                               0         7 μs     10,202 μs    110                                                 BFP4, BFP4 => BFP4
 7237   62.2 %         CopyDeviceOperation                                               1         7 μs     25,794 μs    110                                                 BFP4, BFP4 => BFP4
 7262    0.4 %         ConcatDeviceOperation                                             0        66 μs         91 μs    110                                                 BFP4, BFP4 => BFP4

These ops have a >6 μs gap since the previous operation. Running with tracing could save 39448 μs (95.1% of overall time)
Alternatively ensure device is not waiting for the host. Experts can try moving runtime args in the kernels to compile-time args.

Matmul Optimization
-------------------
 6853    0.2 %   DRAM  MatmulDeviceOperation 32 x 2560 x 12800                           1        97 μs          6 μs    100  338 GB/s  66.0 %  21.6 TFLOPs    3.9 %   LoFi BF16 x BFP8 => BF16
