MessageName;total_ns
perf_event_paranoid: 4;207405447
            "ACTIVE_ETH_DM_0_max_kernel_size": 0,
            "ACTIVE_ETH_DM_1_max_kernel_size": 0,
            "IDLE_ETH_DM_0_max_kernel_size": 0,
            "IDLE_ETH_DM_1_max_kernel_size": 0,
            "TENSIX_COMPUTE_0_max_kernel_size": 1628,
            "TENSIX_COMPUTE_1_max_kernel_size": 796,
            "TENSIX_COMPUTE_2_max_kernel_size": 1704,
            "TENSIX_DM_0_max_kernel_size": 736,
            "TENSIX_DM_1_max_kernel_size": 2888
        }
    },
    "op_code": "TilizeWithValPaddingDeviceOperation",
    "op_hash": 10219483425381845010,
    "op_type": "tt_dnn_device",
    "optional_input_tensors": [],
    "output_tensors": [
        {
            "dtype": "FLOAT32",
            "layout": "TILE",
            "shape": {
                "W": "1[1]",
                "X": "5120[5120]",
                "Y": "32[1]",
                "Z": "1[1]"
            },
            "storage_type": {
                "device_id": 0,
                "memory_config": {
                    "buffer_type": "DRAM",
                    "memory_layout": "INTERLEAVED"
                }
            }
        }
    ],
    "performance_model": {
        "bandwidth_ns": 1,
        "compute_ns": 1,
        "ideal_ns": 1,
        "input_bws": [],
        "output_bws": []
    },
    "program_cache_hit": false
}`;3703822648
`TT_DNN_DEVICE_OP: "TypecastDeviceOperation", 15899179443584848397, 3, false, 2051 ->
{
    "attributes": {
        "bfp8_pack_precise": "false",
        "fp32_dest_acc_en": "true",
        "input_dtype": "DataType::FLOAT32",
        "output_dtype": "DataType::BFLOAT16",
        "output_memory_config": "MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED,buffer_type=BufferType::DRAM,shard_spec=std::nullopt,nd_shard_spec=std::nullopt,created_with_nd_shard_spec=0)",
        "preserve_fp32_precision": "true",
        "sub_core_grids": "std::nullopt"
    },
    "device_id": 3,
    "global_call_count": 2051,
    "input_tensors": [
        {
            "dtype": "FLOAT32",
            "layout": "TILE",
            "shape": {
                "W": "1[1]",
                "X": "5120[5120]",
                "Y": "32[1]",
                "Z": "1[1]"
            },
            "storage_type": {
                "device_id": 0,
                "memory_config": {
                    "buffer_type": "DRAM",
                    "memory_layout": "INTERLEAVED"
                }
            }
        }
    ],
    "kernel_info": {
        "compute_kernels": [
            {
                "math_fidelity": "HiFi4",
                "name": "eltwise_typecast/4388075702248474193/",
                "source": "ttnn/cpp/ttnn/operations/copy/typecast/device/kernels/compute/eltwise_typecast.cpp"
            }
        ],
        "datamovement_kernels": [
            {
                "name": "writer_unary_interleaved_start_id/5046105809060966876/",
                "source": "ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id.cpp"
            },
            {
                "name": "reader_unary_interleaved_start_id/18292356594317179024/",
                "source": "ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/reader_unary_interleaved_start_id.cpp"
            }
        ],
        "kernel_sizes": {
            "ACTIVE_ETH_DM_0_max_kernel_size": 0,
            "ACTIVE_ETH_DM_1_max_kernel_size": 0,
            "IDLE_ETH_DM_0_max_kernel_size": 0,
            "IDLE_ETH_DM_1_max_kernel_size": 0,
            "TENSIX_COMPUTE_0_max_kernel_size": 1352,
            "TENSIX_COMPUTE_1_max_kernel_size": 952,
            "TENSIX_COMPUTE_2_max_kernel_size": 1260,
            "TENSIX_DM_0_max_kernel_size": 1000,
            "TENSIX_DM_1_max_kernel_size": 916
        }
    },
    "op_code": "TypecastDeviceOperation",
    "op_hash": 15899179443584848397,
    "op_type": "tt_dnn_device",
    "optional_input_tensors": [],
    "output_tensors": [
        {
            "dtype": "BFLOAT16",
            "layout": "TILE",
            "shape": {
                "W": "1[1]",
                "X": "5120[5120]",
                "Y": "32[1]",
                "Z": "1[1]"
            },
            "storage_type": {
                "device_id": 0,
                "memory_config": {
                    "buffer_type": "DRAM",
                    "memory_layout": "INTERLEAVED"
                }
            }
        }
    ],
    "performance_model": {
        "bandwidth_ns": 1,
        "compute_ns": 1,
        "ideal_ns": 1,
        "input_bws": [],
        "output_bws": []
    },
    "program_cache_hit": false
}`;3709612768
`TT_DNN_DEVICE_OP: "TilizeWithValPaddingDeviceOperation", 10219483425381845010, 3, false, 3075`;3709837757
`TT_DNN_DEVICE_OP: "TypecastDeviceOperation", 15899179443584848397, 3, false, 4099`;3709857555
`TT_DNN_DEVICE_OP: "TilizeDeviceOperation", 376408662050770763, 3, false, 5123 ->
{
    "attributes": {
        "enough_space_height": "false",
        "enough_space_width": "false",
        "output_dtype": "DataType::BFLOAT16",
        "output_mem_config": "MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED,buffer_type=BufferType::DRAM,shard_spec=std::nullopt,nd_shard_spec=std::nullopt,created_with_nd_shard_spec=0)",
        "sub_core_grids": "std::nullopt",
        "use_low_perf": "false",
        "use_multicore": "true"
    },
    "device_id": 3,
    "global_call_count": 5123,
    "input_tensors": [
        {
            "dtype": "BFLOAT16",
            "layout": "ROW_MAJOR",
            "shape": {
                "W": "1[1]",
                "X": "17408[17408]",
                "Y": "5120[5120]",
                "Z": "1[1]"
            },
            "storage_type": {
                "device_id": 0,
                "memory_config": {
                    "buffer_type": "DRAM",
                    "memory_layout": "INTERLEAVED"
                }
            }
        }
    ],
    "kernel_info": {
        "compute_kernels": [
            {
                "math_fidelity": "HiFi4",
                "name": "tilize_wh/16301475310755421195/",
                "source": "ttnn/cpp/ttnn/operations/data_movement/tilize/device/kernels/compute/tilize_wh.cpp"
            }
        ],
        "datamovement_kernels": [
            {
                "name": "writer_unary_interleaved_start_id_wh/11692283504611048633/",
                "source": "ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id_wh.cpp"
            },
            {
                "name": "reader_unary_pad_multicore_both_dims/18436245785803201130/",
                "source": "ttnn/cpp/ttnn/operations/data_movement/tilize_with_val_padding/device/kernels/dataflow/reader_unary_pad_multicore_both_dims.cpp"
            }
        ],
        "kernel_sizes": {
            "ACTIVE_ETH_DM_0_max_kernel_size": 0,
            "ACTIVE_ETH_DM_1_max_kernel_size": 0,
            "IDLE_ETH_DM_0_max_kernel_size": 0,
            "IDLE_ETH_DM_1_max_kernel_size": 0,
            "TENSIX_COMPUTE_0_max_kernel_size": 1432,
            "TENSIX_COMPUTE_1_max_kernel_size": 832,
            "TENSIX_COMPUTE_2_max_kernel_size": 2188,
            "TENSIX_DM_0_max_kernel_size": 744,
            "TENSIX_DM_1_max_kernel_size": 3040
        }
    },
    "op_code": "TilizeDeviceOperation",
    "op_hash": 376408662050770763,
    "op_type": "tt_dnn_device",
    "optional_input_tensors": [],
    "output_tensors": [
        {
            "dtype": "BFLOAT16",
            "layout": "TILE",
            "shape": {
                "W": "1[1]",
                "X": "17408[17408]",
                "Y": "5120[5120]",
                "Z": "1[1]"
            },
            "storage_type": {
                "device_id": 0,
                "memory_config": {
                    "buffer_type": "DRAM",
                    "memory_layout": "INTERLEAVED"
                }
            }
        }
    ],
    "performance_model": {
        "bandwidth_ns": 1,
        "compute_ns": 1,
        "ideal_ns": 1,
        "input_bws": [],
        "output_bws": []
    },
    "program_cache_hit": false
}`;3812431610
`TT_DNN_DEVICE_OP: "TilizeDeviceOperation", 376408662050770763, 3, false, 6147`;3906432433
`TT_DNN_DEVICE_OP: "TilizeDeviceOperation", 13292616429667693058, 3, false, 7171 ->
{
    "attributes": {
        "enough_space_height": "true",
        "enough_space_width": "true",
        "output_dtype": "DataType::BFLOAT16",
        "output_mem_config": "MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED,buffer_type=BufferType::DRAM,shard_spec=std::nullopt,nd_shard_spec=std::nullopt,created_with_nd_shard_spec=0)",
        "sub_core_grids": "std::nullopt",
        "use_low_perf": "false",
        "use_multicore": "true"
    },
    "device_id": 3,
    "global_call_count": 7171,
    "input_tensors": [
        {
            "dtype": "BFLOAT16",
            "layout": "ROW_MAJOR",
            "shape": {
                "W": "1[1]",
                "X": "5120[5120]",
                "Y": "17408[17408]",
                "Z": "1[1]"
            },
            "storage_type": {
                "device_id": 0,
                "memory_config": {
                    "buffer_type": "DRAM",
                    "memory_layout": "INTERLEAVED"
                }
            }
        }
    ],
    "kernel_info": {
        "compute_kernels": [
            {
                "math_fidelity": "HiFi4",
                "name": "tilize/15852750651087665341/",
                "source": "ttnn/cpp/ttnn/kernel/compute/tilize.cpp"
            }
        ],
        "datamovement_kernels": [
            {
                "name": "writer_unary_interleaved_start_id/12720952390020887062/",
                "source": "ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id.cpp"
            },
            {
                "name": "reader_unary_stick_layout_split_rows_multicore/16943336057634603594/",
                "source": "ttnn/cpp/ttnn/operations/data_movement/tilize/device/kernels/dataflow/reader_unary_stick_layout_split_rows_multicore.cpp"
            }
        ],
        "kernel_sizes": {
            "ACTIVE_ETH_DM_0_max_kernel_size": 0,
            "ACTIVE_ETH_DM_1_max_kernel_size": 0,
            "IDLE_ETH_DM_0_max_kernel_size": 0,
            "IDLE_ETH_DM_1_max_kernel_size": 0,
            "TENSIX_COMPUTE_0_max_kernel_size": 1344,
            "TENSIX_COMPUTE_1_max_kernel_size": 792,
            "TENSIX_COMPUTE_2_max_kernel_size": 2152,
            "TENSIX_DM_0_max_kernel_size": 1000,
            "TENSIX_DM_1_max_kernel_size": 864
        }
    },
    "op_code": "TilizeDeviceOperation",
    "op_hash": 13292616429667693058,
    "op_type": "tt_dnn_device",
    "optional_input_tensors": [],
    "output_tensors": [
        {
            "dtype": "BFLOAT16",
            "layout": "TILE",
            "shape": {
                "W": "1[1]",
                "X": "5120[5120]",
                "Y": "17408[17408]",
                "Z": "1[1]"
            },
            "storage_type": {
                "device_id": 0,
                "memory_config": {
                    "buffer_type": "DRAM",
                    "memory_layout": "INTERLEAVED"
                }
            }
        }
    ],
    "performance_model": {
        "bandwidth_ns": 1,
        "compute_ns": 1,
        "ideal_ns": 1,
        "input_bws": [],
        "output_bws": []
    },
    "program_cache_hit": false
}`;4001863476
`TT_DNN_DEVICE_OP: "TilizeDeviceOperation", 14248186198051726477, 3, false, 8195 ->
{
    "attributes": {
        "enough_space_height": "true",
        "enough_space_width": "true",
        "output_dtype": "DataType::BFLOAT16",
        "output_mem_config": "MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED,buffer_type=BufferType::DRAM,shard_spec=std::nullopt,nd_shard_spec=std::nullopt,created_with_nd_shard_spec=0)",
        "sub_core_grids": "std::nullopt",
        "use_low_perf": "false",
        "use_multicore": "true"
    },
    "device_id": 3,
    "global_call_count": 8195,
    "input_tensors": [
        {
            "dtype": "BFLOAT16",
            "layout": "ROW_MAJOR",
            "shape": {
                "W": "1[1]",
                "X": "10240[10240]",
                "Y": "5120[5120]",
                "Z": "1[1]"
            },
            "storage_type": {
                "device_id": 0,
                "memory_config": {
                    "buffer_type": "DRAM",
                    "memory_layout": "INTERLEAVED"
                }
            }
        }
    ],
    "kernel_info": {
        "compute_kernels": [
            {
                "math_fidelity": "HiFi4",
                "name": "tilize_wh/16506799847408404377/",
                "source": "ttnn/cpp/ttnn/operations/data_movement/tilize/device/kernels/compute/tilize_wh.cpp"
            }
        ],
        "datamovement_kernels": [
            {
                "name": "writer_unary_interleaved_start_id_wh/3780009629008947013/",
                "source": "ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id_wh.cpp"
            },
            {
                "name": "reader_unary_pad_multicore_both_dims/15619860465281706522/",
                "source": "ttnn/cpp/ttnn/operations/data_movement/tilize_with_val_padding/device/kernels/dataflow/reader_unary_pad_multicore_both_dims.cpp"
            }
        ],
        "kernel_sizes": {
            "ACTIVE_ETH_DM_0_max_kernel_size": 0,
            "ACTIVE_ETH_DM_1_max_kernel_size": 0,
            "IDLE_ETH_DM_0_max_kernel_size": 0,
            "IDLE_ETH_DM_1_max_kernel_size": 0,
            "TENSIX_COMPUTE_0_max_kernel_size": 1432,
            "TENSIX_COMPUTE_1_max_kernel_size": 832,
            "TENSIX_COMPUTE_2_max_kernel_size": 2188,
            "TENSIX_DM_0_max_kernel_size": 744,
            "TENSIX_DM_1_max_kernel_size": 3028
        }
    },
    "op_code": "TilizeDeviceOperation",
    "op_hash": 14248186198051726477,
    "op_type": "tt_dnn_device",
    "optional_input_tensors": [],
    "output_tensors": [
        {
            "dtype": "BFLOAT16",
            "layout": "TILE",
            "shape": {
                "W": "1[1]",
                "X": "10240[10240]",
                "Y": "5120[5120]",
                "Z": "1[1]"
            },
            "storage_type": {
                "device_id": 0,
                "memory_config": {
                    "buffer_type": "DRAM",
                    "memory_layout": "INTERLEAVED"
                }
            }
        }
    ],
    "performance_model": {
        "bandwidth_ns": 1,
        "compute_ns": 1,
        "ideal_ns": 1,
        "input_bws": [],
        "output_bws": []
    },
    "program_cache_hit": false
}`;4073743574
`TT_DNN_DEVICE_OP: "TilizeDeviceOperation", 6633272360120511050, 3, false, 9219 ->
{
    "attributes": {
        "enough_space_height": "true",
        "enough_space_width": "true",
        "output_dtype": "DataType::BFLOAT16",
        "output_mem_config": "MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED,buffer_type=BufferType::DRAM,shard_spec=std::nullopt,nd_shard_spec=std::nullopt,created_with_nd_shard_spec=0)",
        "sub_core_grids": "std::nullopt",
        "use_low_perf": "false",
        "use_multicore": "true"
    },
    "device_id": 3,
    "global_call_count": 9219,
    "input_tensors": [
        {
            "dtype": "BFLOAT16",
            "layout": "ROW_MAJOR",
            "shape": {
                "W": "1[1]",
                "X": "6144[6144]",
                "Y": "5120[5120]",
                "Z": "1[1]"
            },
            "storage_type": {
                "device_id": 0,
                "memory_config": {
                    "buffer_type": "DRAM",
                    "memory_layout": "INTERLEAVED"
                }
            }
        }
    ],
    "kernel_info": {
        "compute_kernels": [
            {
                "math_fidelity": "HiFi4",
                "name": "tilize_wh/14926595792704698970/",
                "source": "ttnn/cpp/ttnn/operations/data_movement/tilize/device/kernels/compute/tilize_wh.cpp"
            }
        ],
        "datamovement_kernels": [
            {
                "name": "writer_unary_interleaved_start_id_wh/2931967486591422858/",
                "source": "ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id_wh.cpp"
            },
            {
                "name": "reader_unary_pad_multicore_both_dims/14827303545916393670/",
                "source": "ttnn/cpp/ttnn/operations/data_movement/tilize_with_val_padding/device/kernels/dataflow/reader_unary_pad_multicore_both_dims.cpp"
            }
        ],
        "kernel_sizes": {
            "ACTIVE_ETH_DM_0_max_kernel_size": 0,
            "ACTIVE_ETH_DM_1_max_kernel_size": 0,
            "IDLE_ETH_DM_0_max_kernel_size": 0,
            "IDLE_ETH_DM_1_max_kernel_size": 0,
            "TENSIX_COMPUTE_0_max_kernel_size": 1404,
            "TENSIX_COMPUTE_1_max_kernel_size": 844,
            "TENSIX_COMPUTE_2_max_kernel_size": 2216,
            "TENSIX_DM_0_max_kernel_size": 744,
            "TENSIX_DM_1_max_kernel_size": 3028
        }
    },
    "op_code": "TilizeDeviceOperation",
    "op_hash": 6633272360120511050,
    "op_type": "tt_dnn_device",
    "optional_input_tensors": [],
    "output_tensors": [
        {
            "dtype": "BFLOAT16",
            "layout": "TILE",
            "shape": {
                "W": "1[1]",
                "X": "6144[6144]",
                "Y": "5120[5120]",
                "Z": "1[1]"
            },
            "storage_type": {
                "device_id": 0,
                "memory_config": {
                    "buffer_type": "DRAM",
                    "memory_layout": "INTERLEAVED"
                }
            }
        }
    ],
    "performance_model": {
        "bandwidth_ns": 1,
        "compute_ns": 1,
        "ideal_ns": 1,
        "input_bws": [],
        "output_bws": []
    },
    "program_cache_hit": false
}`;4119263034
`TT_DNN_DEVICE_OP: "TilizeWithValPaddingDeviceOperation", 9346208890567492434, 3, false, 10243 ->
{
    "attributes": {
        "enough_space_height": "true",
        "enough_space_width": "true",
        "output_dtype": "DataType::BFLOAT16",
        "output_mem_config": "MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED,buffer_type=BufferType::DRAM,shard_spec=std::nullopt,nd_shard_spec=std::nullopt,created_with_nd_shard_spec=0)",
        "output_padded_shape": "Shape([5120, 64])",
        "pad_value": "0",
        "sub_core_grids": "std::nullopt",
        "use_multicore": "true"
    },
    "device_id": 3,
    "global_call_count": 10243,
    "input_tensors": [
        {
            "dtype": "BFLOAT16",
            "layout": "ROW_MAJOR",
            "shape": {
                "W": "1[1]",
                "X": "48[48]",
                "Y": "5120[5120]",
                "Z": "1[1]"
            },
            "storage_type": {
                "device_id": 0,
                "memory_config": {
                    "buffer_type": "DRAM",
                    "memory_layout": "INTERLEAVED"
                }
            }
        }
    ],
    "kernel_info": {
        "compute_kernels": [
            {
                "math_fidelity": "HiFi4",
                "name": "tilize/17078661701464070363/",
                "source": "ttnn/cpp/ttnn/kernel/compute/tilize.cpp"
            }
        ],
        "datamovement_kernels": [
            {
                "name": "writer_unary_interleaved_start_id/12720952390020887062/",
                "source": "ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id.cpp"
            },
            {
                "name": "reader_unary_pad_dims_split_rows_multicore/11452208084228297349/",
                "source": "ttnn/cpp/ttnn/operations/data_movement/tilize_with_val_padding/device/kernels/dataflow/reader_unary_pad_dims_split_rows_multicore.cpp"
            }
        ],
        "kernel_sizes": {
            "ACTIVE_ETH_DM_0_max_kernel_size": 0,
            "ACTIVE_ETH_DM_1_max_kernel_size": 0,
            "IDLE_ETH_DM_0_max_kernel_size": 0,
            "IDLE_ETH_DM_1_max_kernel_size": 0,
            "TENSIX_COMPUTE_0_max_kernel_size": 1252,
            "TENSIX_COMPUTE_1_max_kernel_size": 788,
            "TENSIX_COMPUTE_2_max_kernel_size": 2116,
            "TENSIX_DM_0_max_kernel_size": 1000,
            "TENSIX_DM_1_max_kernel_size": 1852
        }
    },
    "op_code": "TilizeWithValPaddingDeviceOperation",
    "op_hash": 9346208890567492434,
    "op_type": "tt_dnn_device",
    "optional_input_tensors": [],
    "output_tensors": [
        {
            "dtype": "BFLOAT16",
            "layout": "TILE",
            "shape": {
                "W": "1[1]",
                "X": "64[48]",
                "Y": "5120[5120]",
                "Z": "1[1]"
            },
            "storage_type": {
                "device_id": 0,
                "memory_config": {
                    "buffer_type": "DRAM",
                    "memory_layout": "INTERLEAVED"
                }
            }
        }
    ],
    "performance_model": {
        "bandwidth_ns": 1,
        "compute_ns": 1,
        "ideal_ns": 1,
        "input_bws": [],
        "output_bws": []
    },
    "program_cache_hit": false
}`;4124803117
`TT_DNN_DEVICE_OP: "TilizeWithValPaddingDeviceOperation", 9346208890567492434, 3, false, 11267`;4125202399
`TT_DNN_DEVICE_OP: "TilizeDeviceOperation", 14025343978875403564, 3, false, 12291 ->
{
    "attributes": {
        "enough_space_height": "true",
        "enough_space_width": "true",
        "output_dtype": "DataType::BFLOAT16",
        "output_mem_config": "MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED,buffer_type=BufferType::DRAM,shard_spec=std::nullopt,nd_shard_spec=std::nullopt,created_with_nd_shard_spec=0)",
        "sub_core_grids": "std::nullopt",
        "use_low_perf": "false",
        "use_multicore": "true"
    },
    "device_id": 3,
    "global_call_count": 12291,
    "input_tensors": [
        {
            "dtype": "BFLOAT16",
            "layout": "ROW_MAJOR",
            "shape": {
                "W": "1[1]",
                "X": "5120[5120]",
                "Y": "6144[6144]",
                "Z": "1[1]"
            },
            "storage_type": {
                "device_id": 0,
                "memory_config": {
                    "buffer_type": "DRAM",
                    "memory_layout": "INTERLEAVED"
                }
            }
        }
    ],
    "kernel_info": {
        "compute_kernels": [
            {
                "math_fidelity": "HiFi4",
                "name": "tilize_wh/9230250723093207096/",
                "source": "ttnn/cpp/ttnn/operations/data_movement/tilize/device/kernels/compute/tilize_wh.cpp"
            }
        ],
        "datamovement_kernels": [
            {
                "name": "writer_unary_interleaved_start_id_wh/16774157973021781068/",
                "source": "ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id_wh.cpp"
            },
            {
                "name": "reader_unary_pad_multicore_both_dims/8589855355947221565/",
                "source": "ttnn/cpp/ttnn/operations/data_movement/tilize_with_val_padding/device/kernels/dataflow/reader_unary_pad_multicore_both_dims.cpp"
            }
        ],
        "kernel_sizes": {
            "ACTIVE_ETH_DM_0_max_kernel_size": 0,
            "ACTIVE_ETH_DM_1_max_kernel_size": 0,
            "IDLE_ETH_DM_0_max_kernel_size": 0,
            "IDLE_ETH_DM_1_max_kernel_size": 0,
            "TENSIX_COMPUTE_0_max_kernel_size": 1404,
            "TENSIX_COMPUTE_1_max_kernel_size": 864,
            "TENSIX_COMPUTE_2_max_kernel_size": 2248,
            "TENSIX_DM_0_max_kernel_size": 744,
            "TENSIX_DM_1_max_kernel_size": 3040
        }
    },
    "op_code": "TilizeDeviceOperation",
    "op_hash": 14025343978875403564,
    "op_type": "tt_dnn_device",
    "optional_input_tensors": [],
    "output_tensors": [
        {
            "dtype": "BFLOAT16",
            "layout": "TILE",
            "shape": {
                "W": "1[1]",
                "X": "5120[5120]",
                "Y": "6144[6144]",
                "Z": "1[1]"
            },
            "storage_type": {
                "device_id": 0,
                "memory_config": {
                    "buffer_type": "DRAM",
                    "memory_layout": "INTERLEAVED"
                }
            }
        }
    ],
    "performance_model": {
        "bandwidth_ns": 1,
        "compute_ns": 1,
        "ideal_ns": 1,
        "input_bws": [],
        "output_bws": []
    },
    "program_cache_hit": false
}`;4166168811
`TT_DNN_DEVICE_OP: "TilizeWithValPaddingDeviceOperation", 7458216474170397622, 3, false, 13315 ->
{
    "attributes": {
        "enough_space_height": "true",
        "enough_space_width": "true",
        "output_dtype": "DataType::BFLOAT16",
        "output_mem_config": "MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED,buffer_type=BufferType::DRAM,shard_spec=std::nullopt,nd_shard_spec=std::nullopt,created_with_nd_shard_spec=0)",
        "output_padded_shape": "Shape([1, 1, 32, 10240])",
        "pad_value": "0",
        "sub_core_grids": "std::nullopt",
        "use_multicore": "true"
    },
    "device_id": 3,
    "global_call_count": 13315,
    "input_tensors": [
        {
            "dtype": "BFLOAT16",
            "layout": "ROW_MAJOR",
            "shape": {
                "W": "1[1]",
                "X": "10240[10240]",
                "Y": "4[4]",
                "Z": "1[1]"
            },
            "storage_type": {
                "device_id": 0,
                "memory_config": {
                    "buffer_type": "DRAM",
                    "memory_layout": "INTERLEAVED"
                }
            }
        }
    ],
    "kernel_info": {
        "compute_kernels": [
            {
                "math_fidelity": "HiFi4",
                "name": "tilize_wh/9605233324788264611/",
                "source": "ttnn/cpp/ttnn/operations/data_movement/tilize/device/kernels/compute/tilize_wh.cpp"
            }
        ],
        "datamovement_kernels": [
            {
                "name": "writer_unary_interleaved_start_id_wh/14470035683033893724/",
                "source": "ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id_wh.cpp"
            },
            {
                "name": "reader_unary_pad_multicore_both_dims/4453863405737102426/",
                "source": "ttnn/cpp/ttnn/operations/data_movement/tilize_with_val_padding/device/kernels/dataflow/reader_unary_pad_multicore_both_dims.cpp"
            }
        ],
        "kernel_sizes": {
            "ACTIVE_ETH_DM_0_max_kernel_size": 0,
            "ACTIVE_ETH_DM_1_max_kernel_size": 0,
            "IDLE_ETH_DM_0_max_kernel_size": 0,
            "IDLE_ETH_DM_1_max_kernel_size": 0,
            "TENSIX_COMPUTE_0_max_kernel_size": 1352,
            "TENSIX_COMPUTE_1_max_kernel_size": 880,
            "TENSIX_COMPUTE_2_max_kernel_size": 2016,
            "TENSIX_DM_0_max_kernel_size": 744,
            "TENSIX_DM_1_max_kernel_size": 3012
        }
    },
    "op_code": "TilizeWithValPaddingDeviceOperation",
    "op_hash": 7458216474170397622,
    "op_type": "tt_dnn_device",
    "optional_input_tensors": [],
    "output_tensors": [
        {
            "dtype": "BFLOAT16",
            "layout": "TILE",
            "shape": {
                "W": "1[1]",
                "X": "10240[10240]",
                "Y": "32[4]",
                "Z": "1[1]"
            },
            "storage_type": {
                "device_id": 0,
                "memory_config": {
                    "buffer_type": "DRAM",
                    "memory_layout": "INTERLEAVED"
                }
            }
        }
    ],
    "performance_model": {
        "bandwidth_ns": 1,
        "compute_ns": 1,
        "ideal_ns": 1,
        "input_bws": [],
        "output_bws": []
    },
    "program_cache_hit": false
}`;4175614507
`TT_DNN_DEVICE_OP: "TilizeWithValPaddingDeviceOperation", 10459504003166130271, 3, false, 14339 ->
{
    "attributes": {
        "enough_space_height": "true",
        "enough_space_width": "true",
        "output_dtype": "DataType::FLOAT32",
        "output_mem_config": "MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED,buffer_type=BufferType::DRAM,shard_spec=std::nullopt,nd_shard_spec=std::nullopt,created_with_nd_shard_spec=0)",
        "output_padded_shape": "Shape([1, 48, 32, 32])",
        "pad_value": "0",
        "sub_core_grids": "std::nullopt",
        "use_multicore": "true"
    },
    "device_id": 3,
    "global_call_count": 14339,
    "input_tensors": [
        {
            "dtype": "FLOAT32",
            "layout": "ROW_MAJOR",
            "shape": {
                "W": "1[1]",
                "X": "1[1]",
                "Y": "1[1]",
                "Z": "48[48]"
            },
            "storage_type": {
                "device_id": 0,
                "memory_config": {
                    "buffer_type": "DRAM",
                    "memory_layout": "INTERLEAVED"
                }
            }
        }
    ],
    "kernel_info": {
