Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'PERF_DECODE_L3'.
Using operations until 'PERF_DECODE_L3_END'.
Detected data from 1 devices. Merging device data...
Warning: SparseMatmulDeviceOperation rows without numeric nnz were found. Their DRAM/FLOP utilization is omitted; pass --active-experts K to model K active experts per input batch group.

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                                     Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 1153    0.0 %         ReshapeViewDeviceOperation                                        0         4 μs                   80                                                       BF16 => BF16
 1307    0.1 %         PermuteDeviceOperation                                            0         3 μs          4 μs     64                                                     INT32 => INT32
 1308    0.0 %         PermuteDeviceOperation                                            0         2 μs          1 μs      1                                                     INT32 => INT32
 1309    0.1 %         ConcatDeviceOperation                                             0         9 μs          2 μs    110                                              INT32, INT32 => INT32
 1310    0.0 %         PermuteDeviceOperation                                            0         5 μs          1 μs     65                                                     INT32 => INT32
 1311    0.2 %         TilizeWithValPaddingDeviceOperation                               0         4 μs         20 μs     65                                                     INT32 => INT32
 1312    0.2 %         UntilizeWithUnpaddingDeviceOperation                              0         1 μs         23 μs     64                                                       BF16 => BF16
 1313    0.0 %         UntilizeWithUnpaddingDeviceOperation                              0         1 μs          1 μs      1                                                       BF16 => BF16
 1314    0.1 %         PermuteDeviceOperation                                            0         3 μs          4 μs     64                                                       BF16 => BF16
 1315    0.0 %         PermuteDeviceOperation                                            0         2 μs          1 μs      1                                                       BF16 => BF16
 1316    0.1 %         ConcatDeviceOperation                                             0         8 μs          2 μs    110                                                 BF16, BF16 => BF16
 1317    0.1 %         PermuteDeviceOperation                                            0         5 μs          1 μs     65                                                       BF16 => BF16
 1318    0.2 %         TilizeWithValPaddingDeviceOperation                               0         3 μs         20 μs     65                                                       BF16 => BF16
 1319    0.1 %         FillPadDeviceOperation                                            0        10 μs          3 μs     65                                                     INT32 => INT32
 1320    0.1 %         FillPadDeviceOperation                                            0        11 μs          1 μs     65                                                       BF16 => BF16
 1321    0.0 %         UnaryDeviceOperation                                              0         2 μs          1 μs    110                                                     INT32 => INT32
 1322    0.0 %         BinaryNgDeviceOperation                                           0         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 1323    0.0 %         UnaryDeviceOperation                                              0         3 μs          1 μs    110                                                     INT32 => INT32
 1324    0.0 %         UnaryDeviceOperation                                              0         3 μs          1 μs    110                                                     INT32 => INT32
 1325    0.0 %         RepeatCodegenDeviceOperation                                      0         1 μs          1 μs     32                                                     INT32 => INT32
 1326    0.0 %         TilizeDeviceOperation                                             0         2 μs          1 μs      1                                                     INT32 => INT32
 1327    0.0 %         TypecastDeviceOperation                                           0         2 μs          3 μs     65                                                    INT32 => UINT32
 1328    0.1 %         FillPadDeviceOperation                                            0         5 μs          4 μs     65                                                   UINT32 => UINT32
 1329    0.5 %         GatherDeviceOperation                                             0        52 μs          1 μs     65                                             INT32, UINT32 => INT32
 1330    0.0 %         BinaryNgDeviceOperation                                           0         5 μs          0 μs    110                                                     INT32 => INT32
 1331    0.0 %         BinaryNgDeviceOperation                                           0         3 μs          0 μs    110                                              INT32, INT32 => INT32
 1332    0.0 %         TypecastDeviceOperation                                           0         2 μs          0 μs     65                                                    INT32 => UINT32
 1333    2.7 %         TransposeDeviceOperation                                          0       303 μs          0 μs    110                                                       BF16 => BF16
 1334    4.0 %         ReshapeViewDeviceOperation                                        0       453 μs          1 μs    110                                                       BF16 => BF16
 1335    0.0 %         UntilizeWithUnpaddingDeviceOperation                              0         2 μs          0 μs     65                                                   UINT32 => UINT32
 1336    0.2 %         UntilizeCodegenDeviceOperation                                    0        21 μs          0 μs    110                                                       BF16 => BF16
 1337    0.1 %         EmbeddingsDeviceOperation                                         0        14 μs          1 μs     65                                               UINT32, BF16 => BF16
 1338    2.7 %         ReshapeViewDeviceOperation                                        0       310 μs          0 μs    110                                                       BF16 => BF16
 1339    1.0 %         PermuteDeviceOperation                                            0       115 μs          0 μs    110                                                       BF16 => BF16
 1340    0.1 %         UntilizeCodegenDeviceOperation                                    0        12 μs          0 μs    110                                                       BF16 => BF16
 1341    1.7 %         ConcatDeviceOperation                                             0       199 μs          1 μs    110                                                 BF16, BF16 => BF16
 1342    1.4 %         TilizeDeviceOperation                                             0       155 μs          0 μs    104                                                       BF16 => BF16
 1343    2.6 %         TransposeDeviceOperation                                          0       296 μs          1 μs    110                                                       BF16 => BF16
 1344    4.0 %         ReshapeViewDeviceOperation                                        0       454 μs          1 μs    110                                                       BF16 => BF16
 1345    0.0 %         UntilizeWithUnpaddingDeviceOperation                              0         2 μs          1 μs     65                                                   UINT32 => UINT32
 1346    0.2 %         UntilizeCodegenDeviceOperation                                    0        21 μs          1 μs    110                                                       BF16 => BF16
 1347    0.1 %         EmbeddingsDeviceOperation                                         0        13 μs          1 μs     65                                               UINT32, BF16 => BF16
 1348    2.7 %         ReshapeViewDeviceOperation                                        0       308 μs          0 μs    110                                                       BF16 => BF16
 1349    1.0 %         PermuteDeviceOperation                                            0       115 μs          0 μs    110                                                       BF16 => BF16
 1350    0.1 %         UntilizeCodegenDeviceOperation                                    0        13 μs          0 μs    110                                                       BF16 => BF16
 1351    1.7 %         ConcatDeviceOperation                                             0       199 μs          1 μs    110                                                 BF16, BF16 => BF16
 1352    1.3 %         TilizeDeviceOperation                                             0       151 μs          0 μs    104                                                       BF16 => BF16
 1353    1.1 %         TransposeDeviceOperation                                          0       130 μs          1 μs    110                                                       BF16 => BF16
 1354    1.0 %   SLOW  MatmulDeviceOperation b={24} x 32 x 256 x 2080                    0       110 μs          1 μs     65  264 GB/s  51.6 %   7.4 TFLOPs    8.3 %  HiFi4 BF16 x BF16 => BF16
 1355    0.2 %         BinaryNgDeviceOperation                                           0        19 μs          1 μs    110                                                       BF16 => BF16
 1356    0.0 %         UnaryDeviceOperation                                              0         2 μs          1 μs    110                                                       BF16 => BF16
 1357    0.1 %         RepeatCodegenDeviceOperation                                      0        16 μs          1 μs    110                                                       BF16 => BF16
 1358    0.2 %         BinaryNgDeviceOperation                                           0        23 μs          1 μs    110                                                 BF16, BF16 => BF16
 1359    0.9 %         SoftmaxDeviceOperation                                            0        99 μs          1 μs     24                                                       BF16 => BF16
 1360    9.4 %   SLOW  MatmulDeviceOperation b={24} x 32 x 2080 x 256                    0     1,076 μs          1 μs      8   27 GB/s   5.3 %   0.8 TFLOPs    6.9 %  HiFi4 BF16 x BF16 => BF16
 1361    0.0 %         TransposeDeviceOperation                                          0         3 μs          1 μs    110                                                       BF16 => BF16
 1362    0.0 %         ReshapeViewDeviceOperation                                        0         5 μs          1 μs    110                                                       BF16 => BF16
 1363    0.0 %         UnaryDeviceOperation                                              0         4 μs          1 μs    110                                                       BF16 => BF16
 1364    0.1 %         BinaryNgDeviceOperation                                           0         5 μs          1 μs    110                                                 BF16, BF16 => BF16
 1365    1.1 %   SLOW  MatmulDeviceOperation 32 x 6144 x 2560                            0       123 μs          1 μs     80  261 GB/s  50.9 %   8.2 TFLOPs    7.4 %  HiFi4 BF16 x BF16 => BF16
 1366    0.0 %         ReshapeViewDeviceOperation                                        0         2 μs          1 μs      1                                                       BF16 => BF16
 1367    0.1 %         BinaryNgDeviceOperation                                           0         9 μs          1 μs    110                                                 BF16, BF16 => BF16
 1368    0.1 %         ReshapeViewDeviceOperation                                        0         6 μs          1 μs    110                                                       BF16 => BF16
 1369    0.1 %         BinaryNgDeviceOperation                                           0         6 μs          0 μs    110                                                 BF16, BF16 => BF16
 1370    0.0 %         ReshapeViewDeviceOperation                                        0         4 μs          1 μs     80                                                       BF16 => BF16
 1371    0.2 %         LayerNormDeviceOperation                                          0        24 μs          1 μs      1                                                       BF16 => BF16
 1372    0.0 %         ReshapeViewDeviceOperation                                        0         4 μs          1 μs     80                                                       BF16 => BF16
 1373    0.0 %         BinaryNgDeviceOperation                                           0         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 1374    0.0 %         ReshapeViewDeviceOperation                                        0         5 μs          1 μs    110                                                       BF16 => BF16
 1375    1.1 %   SLOW  MatmulDeviceOperation 32 x 10240 x 320                            0       120 μs          1 μs     10   60 GB/s  11.7 %   1.7 TFLOPs   12.6 %  HiFi4 BF16 x BF16 => BF16
 1376    0.0 %         BinaryNgDeviceOperation                                           0         3 μs          1 μs    110                                                       BF16 => BF16
 1377    0.0 %         UnaryDeviceOperation                                              0         4 μs          1 μs    110                                                       BF16 => BF16
 1378    0.2 %   DRAM  MatmulDeviceOperation 32 x 320 x 10240                            0        20 μs          1 μs    107  353 GB/s  68.9 %  10.2 TFLOPs    6.9 %  HiFi4 BF16 x BF16 => BF16
 1379    0.0 %         UnaryDeviceOperation                                              0         5 μs          1 μs    110                                                       BF16 => BF16
 1380    0.0 %         ReshapeViewDeviceOperation                                        0         4 μs          1 μs     80                                                       BF16 => BF16
 1381    0.0 %         ReshapeViewDeviceOperation                                        0         4 μs          1 μs     80                                                       BF16 => BF16
 1382    0.0 %         BinaryNgDeviceOperation                                           0         3 μs          1 μs    110                                                 BF16, BF16 => BF16
 1383    0.0 %         FillPadDeviceOperation                                            0         5 μs          1 μs     80                                                       BF16 => BF16
 1384    0.0 %         ReduceDeviceOperation                                             0         2 μs          1 μs     80                                                       BF16 => BF16
 1385    0.0 %         BinaryNgDeviceOperation                                           0         3 μs          1 μs    110                                                       BF16 => BF16
 1386    0.7 %   SLOW  MatmulDeviceOperation 32 x 10240 x 32                             0        75 μs          1 μs      1   18 GB/s   3.4 %   0.3 TFLOPs   20.2 %  HiFi4 BF16 x BF16 => BF16
 1387    0.0 %         BinaryNgDeviceOperation                                           0         3 μs          1 μs    110                                                       BF16 => BF16
